Measurement Unit ----->,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA
FXGL,D42,C39YR00NN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000341,FXGL_C03-5F-BIR_3_LOG-COLLECTION,FAIL,2019-07-05 20:29:05,2019-07-05 20:29:45,500.10.17-17A95220h,kCollectLogs Computed MoPED does not match. Unable to write control bits at o,,,,41.083071,,,5,161244,865358,1026602,,,,,,4160,,,,,,,,,,38.09,47.45,46.26,47.95,53.81,45.04,65.64,69.93,70.1,60.31,61,25.2,25.95,25.78,25.93,26.09,25.73,27.06,27.84,27.54,27.73,27.45,487657472
FXGL,D42,C39YR00PN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000354,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:21:42,2019-07-05 09:22:23,500.10.17-17A95220i,,,,,41.615924,,,5,135000,1265710,1400710,,,,,,,,,,,,,,,,36.5,47.31,46.4,48.03,54,44.91,66.5,70.1,70.18,60.14,61.34,26.6,27.42,27.37,27.49,27.77,27.16,29.1,29.01,28.81,28.62,28.9,437391360
FXGL,D42,C39YR00PN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000354,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:23:10,2019-07-05 09:23:17,500.10.17-17A95220i,,,,,8.093774,,,5,135000,1265848,1400848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437391360
FXGL,D42,C39YR00QN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000342,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:16:20,2019-07-05 09:17:05,500.10.17-17A95220i,,,,,45.271281,,,5,164555,1301265,1465820,,,,,,,,,,,,,,,,38.9,49.47,48.28,50.18,55.97,47.28,68.29,72.34,72.25,62.71,63.31,27.39,28.37,28.33,28.28,28.46,28.18,30.28,30.18,30.18,30.37,29.89,487788544
FXGL,D42,C39YR00QN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000342,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:29:16,2019-07-05 20:30:01,500.10.17-17A95220h,,,,,45.355806,,,5,166572,1312719,1479291,,,,,,,,,,,,,,,,38.09,48.23,47.26,48.97,54.81,46.23,67.01,70.96,70.87,61.68,62.2,23.6,24.49,24.46,24.38,24.53,24.34,27.06,27.34,27.15,27.54,27.15,437391360
FXGL,D42,C39YR012N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000416,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:21:19,2019-07-05 09:21:58,500.10.17-17A95220i,,,,,40.448916,,,6,109436,758022,867458,,,,,,,,,,,,,,,,39,46.73,45.65,47.28,53.16,44.19,64.68,68.46,68.73,58.76,60.04,28.29,28.74,28.92,28.92,28.91,28.54,30.67,30.46,30.37,30.37,30.28,487788544
FXGL,D42,C39YR012N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000416,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:38:10,2019-07-05 20:38:39,500.10.17-17A95220h,,,,,29.270491,,,6,111433,767262,878695,,,,,,,,,,,,,,,,37.7,46.26,45.4,46.78,52.49,44.08,64,68.73,68.73,58.15,59.35,25.39,25.9,26.06,26.06,26.06,25.74,27.64,27.34,26.95,27.15,27.25,437391360
FXGL,D42,C39YR013N2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000367,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:22:52,2019-07-05 09:23:31,500.10.17-17A95220i,,,,,40.055203,,,5,127219,1444264,1571483,,,,,,,,,,,,,,,,37.7,46.97,45.61,47.41,53.28,44.65,64.95,68.46,68.39,59.7,60.21,27.39,27.93,27.73,27.83,28.21,27.78,30.28,29.68,30.07,30.46,29.89,487788544
FXGL,D42,C39YR013N2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000367,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:31:32,2019-07-05 20:32:13,500.10.17-17A95220h,,,,,41.040608,,,5,129227,1456031,1585258,,,,,,,,,,,,,,,,37.29,46.61,45.34,47.06,52.94,44.34,64.51,67.95,68.12,59.18,59.87,23.7,24.09,23.93,24.03,24.37,23.98,26.95,26.46,26.85,27.06,26.56,487788544
FXGL,D42,C39YR01DN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000344,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:20:49,2019-07-05 09:21:28,500.10.17-17A95220i,,,,,39.69996,,,5,148057,1244957,1393014,,,,,,,,,,,,,,,,36.4,46.19,44.98,46.63,52.34,43.66,64.6,68.12,68.04,58.76,59.7,27.6,28.17,27.94,28.17,28.36,27.85,30.57,29.98,29.98,29.98,29.68,437391360
FXGL,D42,C39YR01DN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000344,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:30:28,2019-07-05 20:31:15,500.10.17-17A95220h,,,,,47.27715,,,5,150612,1257491,1408103,,,,,,,,,,,,,,,,37.4,45.72,44.65,46.28,52.02,43.45,64.26,68.04,68.21,58.42,59.28,24.89,25.59,25.43,25.62,25.82,25.32,27.84,27.34,27.06,27.34,27.25,487657472
FXGL,D42,C39YR01DN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000405,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:18:33,2019-07-05 09:19:09,500.10.17-17A95220i,,,,,36.353814,,,5,124283,939046,1063329,,,,,,,,,,,,,,,,39.29,48.82,47.85,49.66,56.01,47.14,67.01,71.04,71.21,61.07,62.71,28.29,28.73,29.03,28.83,29.28,29.07,31.15,30.67,30.37,30.85,31.06,487788544
FXGL,D42,C39YR01PN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000612,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:17:29,2019-07-05 09:18:09,500.10.17-17A95220i,,,,,41.411014,,,5,151914,597470,749384,,,,,,,,,,,,,,,,39,48.95,48.03,50.2,55.3,47.33,67.7,70.62,70.96,62.28,62.79,28,28.61,28.44,28.8,28.54,28.53,30.67,30.67,30.46,31.06,30.76,487788544
FXGL,D42,C39YR01SN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000615,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:14:15,2019-07-05 09:14:55,500.10.17-17A95220i,,,,,40.182047,,,5,171768,1013810,1185578,,,,,,,,,,,,,,,,41.09,50.9,50.2,51.7,56.6,48.41,69.67,73.28,73.03,64.17,63.75,28.7,29.16,29.16,29.38,29.74,28.73,31.64,31.54,30.67,31.75,31.06,487788544
FXGL,D42,C39YR022N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000413,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:22:49,2019-07-05 09:23:30,500.10.17-17A95220i,,,,,41.648173,,,5,110220,812227,922447,,,,,,,,,,,,,,,,36.9,45.91,45.09,46.63,52.43,43.7,63.48,66.92,68.12,58.42,59.35,27.39,27.85,27.97,28.11,28.41,27.83,29.68,29.1,29.59,30.28,29.2,487657472
FXGL,D42,C39YR029N2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000630,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:14:21,2019-07-05 09:15:01,500.10.17-17A95220i,,,,,40.662682,,,5,145733,800508,946241,,,,,,,,,,,,,,,,40,49.77,48.13,49.77,55.91,46.9,68.56,71.82,72.17,62.37,63.57,28.6,29.11,28.76,28.68,29.27,28.7,32.03,31.54,31.84,31.25,31.45,487657472
FXGL,D42,C39YR02AN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000634,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:20:22,2019-07-05 09:21:01,500.10.17-17A95220i,,,,,39.828837,,,5,146670,1147654,1294324,,,,,,,,,,,,,,,,38,47.48,46.56,48.3,53.72,45.25,65.89,69.07,68.73,59.96,60.56,28.29,28.59,28.61,28.92,28.76,28.55,30.67,29.98,29.59,30.57,30.07,487788544
FXGL,D42,C39YR033N2QT,D42-CARRIERMINI,D42-CARRIERMINI_2M4B,000316,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:20:20,2019-07-05 09:21:00,500.10.17-17A95220i,,,,,40.829598,,,5,134272,1463790,1598062,,,,,,,,,,,,,,,,36.59,47.38,46.49,48.1,54.1,44.93,67.09,71.21,70.7,61.34,62.2,27.5,27.87,27.74,27.73,27.95,27.35,30.07,30.46,29.98,30.07,30.07,487657472
