Measurement Unit ----->,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA
FXGL,D43,G6TYV00KN3D0,D43-CRBMINI,D43-CRBMINI_9M7B1,000767,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 13:25:46,2019-07-05 13:25:53,500.10.8-17A24921d,,,,,7.268717,,,5,19752,46256,66008,1,0,0,0,0,,,,,,,,,,,32.29,33.15,32.33,33.03,33.88,32.66,34.67,34.87,34.48,33.89,34.67,25.29,25.54,25.08,25.64,25.82,25.48,25.78,25.59,25.39,25.29,25.29,341901312
FXGL,D43,G6TYV00LN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000830,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:23:31,2019-07-05 01:23:42,500.10.8-17A24921d,,,,,11.531275,,,5,38831,122965,161796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYV00XN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000420,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:39:01,2019-07-05 01:39:12,500.10.8-17A24921d,,,,,12.108096,,,5,105935,643767,749702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYV00XN3FG,D43-CRBMINI,D43-CRBMINI_7M6B1,000700,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:41:49,2019-07-05 05:42:01,500.10.8-17A24921d,,,,,12.569687,,,5,74216,106452,180668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYV00YN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000419,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:19:14,2019-07-05 01:19:25,500.10.8-17A24921d,,,,,11.462877,,,5,57690,283705,341395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYV00YN39T,D43-CRBMINI,D43-CRBMINI_FXFC10,000309,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:13:00,2019-07-05 05:13:12,500.10.8-17A24921d,,,,,12.095923,,,5,119112,457311,576423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYV00ZN39T,D43-CRBMINI,D43-CRBMINI_FXFC10,000308,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:22:33,2019-07-05 00:22:44,500.10.8-17A24921d,,,,,11.674111,,,5,118816,508587,627403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYV00ZN39T,D43-CRBMINI,D43-CRBMINI_FXFC10,000308,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:23:50,2019-07-05 00:23:57,500.10.8-17A24921d,,,,,6.984935,,,5,118816,508587,627403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYV010N38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000844,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:55:13,2019-07-05 00:55:28,500.10.8-17A24921d,,,,,15.644271,,,5,73768,446480,520248,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYV013N3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000477,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 08:35:59,2019-07-05 08:36:10,500.10.8-17A24921d,,,,,11.440609,,,5,78843,499116,577959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV014N39T,D43-CRBMINI,D43-CRBMINI_FXFC10,000303,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 03:04:25,2019-07-05 03:04:37,500.10.8-17A24921d,,,,,13.141552,,,5,195528,143460,338988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV015N3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000479,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:31:32,2019-07-05 03:32:02,500.10.17-17A95220i,,,,,31.395764,,,4,89957,546481,636438,,,,,,,,,,,,,,,,34.7,44.51,42.56,44.51,51.32,41.77,59.7,63.57,63.92,55.18,55.5,25.5,26.23,25.97,26.13,26.37,26.05,25.68,25.5,25.2,25.39,25.39,341901312
FXGL,D43,G6TYV018N3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000482,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:29:42,2019-07-05 03:30:09,500.10.17-17A95220i,,,,,27.356739,,,6,92082,630615,722697,,,,,,,,,,,,,,,,35,43.66,42.18,43.36,50.64,40.44,58.25,61.68,62.37,53.81,54.98,25.2,26.65,26.8,26.83,27.42,26.13,26.28,25.59,25.68,25.98,25.89,343150592
FXGL,D43,G6TYV019N3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000483,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:27:14,2019-07-05 03:28:02,500.10.17-17A95220i,,,,,48.815384,,,5,89041,657350,746391,,,,,,,,,,,,,,,,33.5,42.3,40.31,42.06,49.53,39.53,56.95,61.07,61.07,53.23,54.5,24.2,24.46,24.41,24.58,25.13,24.54,23.82,23.64,23.34,24.12,23.82,341901312
FXGL,D43,G6TYV01BN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000855,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 08:27:09,2019-07-05 08:27:20,500.10.8-17A24921d,,,,,11.508621,,,5,105361,378995,484356,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYV01CN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000405,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:54:08,2019-07-05 00:54:20,500.10.8-17A24921d,,,,,12.195714,,,5,130883,761715,892598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYV01EN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000403,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:41:17,2019-07-05 05:41:28,500.10.8-17A24921d,,,,,11.635722,,,4,115585,809825,925410,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV01EN3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000488,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:28:02,2019-07-05 03:28:37,500.10.17-17A95220i,,,,,36.080636,,,5,88268,140244,228512,,,,,,,,,,,,,,,,34.9,44.3,42.52,43.93,51.18,41.55,60.14,63.31,63.57,54.98,55.92,24.6,25.04,25.1,24.86,25.32,24.89,25.98,25.29,25.29,25.59,25.89,343347200
FXGL,D43,G6TYV01FN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000402,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:08:26,2019-07-05 04:08:38,500.10.8-17A24921d,,,,,11.718717,,,5,121918,797851,919769,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV01LN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000397,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:39:32,2019-07-05 05:39:43,500.10.8-17A24921d,,,,,11.609495,,,5,127792,634357,762149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYV01MN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000396,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:45:21,2019-07-05 01:45:32,500.10.8-17A24921d,,,,,11.654619,,,5,128747,592825,721572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV01PN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000867,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:02:13,2019-07-05 04:02:24,500.10.8-17A24921d,,,,,10.981331,,,5,54070,208995,263065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV01PN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000394,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 02:10:32,2019-07-05 02:10:40,500.10.8-17A24921d,kCollectLogs Semaphore file missing in folder MMI,,,,8.259123,,,5,112113,906590,1018703,,,,,,,,,,,,,,20011,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYV01PN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000394,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:12:12,2019-07-05 02:12:19,500.10.8-17A24921d,,,,,7.156612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYV01PN39T,D43-CRBMINI,D43-CRBMINI_7M3B1,000557,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:03:46,2019-07-05 04:03:56,500.10.8-17A24921d,,,,,11.052571,,,7,40668,175872,216540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV01QN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000868,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:20:14,2019-07-05 00:20:25,500.10.8-17A24921d,,,,,12.349802,,,5,89910,616445,706355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYV01RN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000869,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:29:35,2019-07-05 05:29:47,500.10.8-17A24921d,,,,,11.933191,,,5,86901,692488,779389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYV01SN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000391,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:39:11,2019-07-05 05:39:22,500.10.8-17A24921d,,,,,11.58225,,,8,111677,813319,924996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV01UN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000872,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:29:15,2019-07-05 02:29:25,500.10.8-17A24921d,,,,,11.040404,,,5,37379,73699,111078,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV021N39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000599,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:20:08,2019-07-05 00:20:19,500.10.8-17A24921d,,,,,12.085659,,,5,106714,808333,915047,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV022N39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000600,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:19:39,2019-07-05 02:19:50,500.10.8-17A24921d,,,,,11.522797,,,5,98037,697948,795985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV027N38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000885,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 03:06:55,2019-07-05 03:07:06,500.10.8-17A24921d,,,,,11.709285,,,5,70194,578283,648477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYV028N39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000606,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:24:32,2019-07-05 02:24:43,500.10.8-17A24921d,,,,,11.66503,,,6,101379,664408,765787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV029N39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000607,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 03:07:19,2019-07-05 03:07:30,500.10.8-17A24921d,,,,,12.170067,,,5,122933,729965,852898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV02CN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000610,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:54:45,2019-07-05 00:54:56,500.10.8-17A24921d,,,,,11.83603,,,5,106770,795679,902449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYV02HN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000615,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:20:00,2019-07-05 01:20:11,500.10.8-17A24921d,,,,,11.629158,,,5,92814,410278,503092,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYV02JN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000616,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:28:30,2019-07-05 03:29:09,500.10.17-17A95220i,,,,,39.005711,,,5,95007,788541,883548,1,0,0,0,0,,,,,,,,,,,37.2,46.09,44.08,45.43,53.16,42.6,62.79,65.2,65.71,56.53,57.29,24,25.4,24.92,24.86,25.75,24.66,25.68,24.71,24.71,25.2,24.51,343150592
FXGL,D43,G6TYV02MN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000619,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:28:20,2019-07-05 03:29:01,500.10.17-17A95220i,,,,,42.396324,,,5,94373,790227,884600,,,,,,,,,,,,,,,,34.79,43.59,41.63,43.42,50.45,40.92,59.1,62.45,62.62,54.4,55.46,24.6,25.63,25.27,25.84,25.93,25.56,25.2,25.2,24.71,25,24.9,341901312
FXGL,D43,G6TYV02NN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000620,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:30:29,2019-07-05 03:31:09,500.10.17-17A95220i,,,,,40.031621,,,5,87015,760105,847120,,,,,,,,,,,,,,,,35.5,44.19,42.6,43.87,50.4,40.98,58.25,62.03,62.71,54.29,55.37,25.79,26.94,26.83,26.97,26.84,26.22,26.17,25.78,25.89,26.17,25.78,343281664
FXGL,D43,G6TYV02PN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000621,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:28:43,2019-07-05 03:29:39,500.10.17-17A95220i,,,,,55.654328,,,6,93281,666397,759678,,,,,,,,,,,,,,,,35.2,44.08,41.3,42.74,50.42,40.4,59.62,63.57,64.34,55.28,55.75,25.29,25.94,25.3,25.33,25.84,25.71,26.17,26.17,26.07,26.17,26.17,343281664
FXGL,D43,G6TYV02QN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000622,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:29:24,2019-07-05 03:30:03,500.10.17-17A95220i,,,,,39.086978,,,5,71359,495149,566508,,,,,,,,,,,,,,,,35.2,45.11,43.22,45.16,52.05,42.46,60.48,64,64.51,55.46,56.35,25.29,26.63,26.27,26.75,26.89,26.26,25.89,26.07,25.78,26.56,26.17,341901312
FXGL,D43,G6TYV02YN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000904,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 10:02:00,2019-07-05 10:02:15,500.10.8-17A24921d,,,,,15.432005,,,5,96453,252279,348732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYV02ZN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000631,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:31:36,2019-07-05 03:32:06,500.10.17-17A95220i,,,,,30.889133,,,5,78918,609870,688788,,,,,,,,,,,,,,,,35.7,46.49,44.15,46.28,54,43.51,63.57,67.43,67.35,57.56,58.93,26.1,26.59,26.18,26.35,26.84,26.2,26.95,26.76,26.28,26.56,26.56,343150592
FXGL,D43,G6TYV03GN394,D43-CRBMINI,D43-CRBMINI_8M18W2,001464,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:31:12,2019-07-05 01:31:25,500.10.8-17A24921d,,,,,12.825717,,,5,52831,204706,257537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYV040N3FG,D43-CRBMINI,D43-CRBMINI_7M12B1,001121,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:19:50,2019-07-05 00:20:01,500.10.8-17A24921d,,,,,11.276225,,,7,39682,90476,130158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYW004N38X,D43-CRB,D43-CRB_8Q1B,004924,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 08:38:26,2019-07-05 08:38:36,500.10.8-17A24921d,kCollectLogs Computed MoPED does not match. Unable to write control bits at o,,,,10.333556,,,5,20744,208347,229091,,,,,,4160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYW004N38X,D43-CRB,D43-CRB_8Q1B,004924,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 08:38:59,2019-07-05 08:39:05,500.10.8-17A24921d,kCollectLogs Computed MoPED does not match. Unable to write control bits at o,,,,5.739925,,,5,20744,208378,229122,,,,,,4160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYW006N39P,D43-CRB,D43-CRB_7G5R,003416,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:18:11,2019-07-05 04:18:22,500.10.8-17A24921d,,,,,11.180663,,,10,44600,106805,151405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYW008N39K,D43-CRB,D43-CRB_7G27G3,005519,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:32:37,2019-07-05 03:32:59,500.10.17-17A95220i,,,,,22.068969,,,5,26201,170702,196903,,,,,,,,,,,,,,,,36,45.07,44.21,45.68,51.93,42.32,61.25,64.68,64.78,55.46,55.75,25.6,25.76,25.99,26.04,26.11,25.3,25.89,25.39,25.59,25.1,24.9,337707008
FXGL,D43,G6TYW009N39P,D43-CRB,D43-CRB_7G5R,003419,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:50:19,2019-07-05 21:50:30,500.10.8-17A24921d,,,,,11.687874,,,5,50563,164698,215261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYW00FN39X,D43-CRB,D43-CRB_7G19G3,004656,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:15:00,2019-07-05 04:15:11,500.10.8-17A24921d,,,,,11.527536,,,9,44781,109176,153957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYW00MN38M,D43-CRB,D43-CRB_9G30R,005406,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:49:58,2019-07-05 21:50:10,500.10.8-17A24921d,,,,,12.589371,,,5,13024,104449,117473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYW00MN39P,D43-CRB,D43-CRB_7G5R,003431,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:52:48,2019-07-05 21:52:59,500.10.8-17A24921d,,,,,11.567483,,,6,31560,103426,134986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYW00QN39P,D43-CRB,D43-CRB_7G5R,003434,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:50:06,2019-07-05 21:50:17,500.10.8-17A24921d,,,,,11.659248,,,6,21036,188008,209044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYW00QN39X,D43-CRB,D43-CRB_7G19G3,004647,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 05:37:30,2019-07-05 05:37:58,500.10.8-17A24921d,kCollectLogs Could not connect to device at USB location 0x14210000;Finalize the device is not found in connected device list,,,,28.311757,,5010,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYW00QN39X,D43-CRB,D43-CRB_7G19G3,004647,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 05:46:08,2019-07-05 05:46:21,500.10.8-17A24921d,kCollectLogs Computed MoPED does not match. Unable to write control bits at o,,,,13.50669,,,5,15562,80836,96398,,,,,,4160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYW00QN39X,D43-CRB,D43-CRB_7G19G3,004647,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 05:52:19,2019-07-05 05:52:26,500.10.8-17A24921d,kCollectLogs Computed MoPED does not match. Unable to write control bits at o,,,,7.513535,,,5,15562,80992,96554,,,,,,4160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYW00QN39X,D43-CRB,D43-CRB_7G19G3,004647,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 05:52:44,2019-07-05 05:52:51,500.10.8-17A24921d,kCollectLogs Computed MoPED does not match. Unable to write control bits at o,,,,7.557069,,,,,,,,,,,,4160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYW00SN38M,D43-CRB,D43-CRB_9G30R,005401,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:52:10,2019-07-05 21:52:23,500.10.8-17A24921d,,,,,13.35515,,,5,23486,195713,219199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYW00WN39P,D43-CRB,D43-CRB_7G5R,003440,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:16:46,2019-07-05 21:16:57,500.10.8-17A24921d,,,,,11.397201,,,5,19507,157888,177395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYW00ZN395,D43-CRB,D43-CRB_8G1R,003263,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:19:14,2019-07-05 00:19:26,500.10.8-17A24921d,,,,,12.168276,,,5,16370,37637,54007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYW00ZN3G9,D43-CRB,D43-CRB_9ZC3B3,002601,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:15:59,2019-07-05 04:16:10,500.10.8-17A24921d,,,,,11.435446,,,5,26132,70873,97005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYW011N393,D43-CRB,D43-CRB_8Y7B3,002095,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:11:57,2019-07-05 04:12:08,500.10.8-17A24921d,,,,,11.165146,,,5,12744,26184,38928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYW011N8MR,D43-CRB,D43-CRB_8A1R1,004710,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 09:33:46,2019-07-05 09:34:18,500.10.8-17A24921d,,,,,32.188633,,,5,13053,65826,78879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYW012N8MR,D43-CRB,D43-CRB_8A1R1,004709,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:12:54,2019-07-05 21:13:05,500.10.8-17A24921d,,,,,11.440841,,,5,39028,275216,314244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYW014N8MR,D43-CRB,D43-CRB_8A1R1,004707,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 22:07:06,2019-07-05 22:07:17,500.10.8-17A24921d,,,,,11.505852,,,4,47488,110938,158426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYW016N391,D43-CRB,D43-CRB_8G14G,004903,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 03:14:53,2019-07-05 03:15:03,500.10.8-17A24921d,,,,,11.26706,,,5,15741,39425,55166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYW01AN391,D43-CRB,D43-CRB_8G14G,004907,FXGL_C02-2F-BIR_1_LOG-COLLECTION,FAIL,2019-07-05 03:26:49,2019-07-05 03:26:53,500.10.17-unknown,Connection Failed to connect to device and start session;Finalize the device is not found in connected device list,,5013,,4.206385,,5010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343281664
FXGL,D43,G6TYW01AN391,D43-CRB,D43-CRB_8G14G,004907,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:27:23,2019-07-05 03:28:12,500.10.17-17A95220i,,,,,49.413896,,,5,23945,129000,152945,,,,,,,,,,,,,,,,34.9,43.63,41.19,42.83,50.2,39.93,59.45,62.54,63.14,54.59,55.37,24.89,25.66,25.1,25.39,25.76,25.11,25,24.42,24.6,25.1,24.32,343281664
FXGL,D43,G6TYW01BN39K,D43-CRB,D43-CRB_7G27G3,005554,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:07:50,2019-07-05 01:08:02,500.10.8-17A24921d,,,,,12.875259,,,5,34989,89600,124589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYW01FN39K,D43-CRB,D43-CRB_7G27G3,005507,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 09:14:42,2019-07-05 09:15:15,500.10.17-17A95220i,,,,,33.620345,,,5,31524,139557,171081,1,0,0,0,0,,,,,,,,,,,35.59,42.81,42.18,42.89,49.98,40.31,58.15,61.17,61.07,54.1,54.98,26,25.7,26.05,25.61,26.64,25.47,25.98,25.2,25.39,25.89,25.68,343150592
