LOG-COLLECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parametric
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,List of Failing Tests,Version,BMLB-Serial Number,BMLB-Vendor,BTY-Serial Number,BTY-Vendor,CAM-Serial Number,CAM-Vendor,CGS-Serial Number,CGS-Vendor,HSGA-Serial Number,HSGA-Vendor,MLB-Serial Number,MLB-Vendor,PEARL-Serial Number,PEARL-Vendor,BASEBAND_GOLDCERT_ID,BT_MAC_ADDRESS,IMEI,OS_BUILD_VERSION_FATP,PRODUCTION_SOC,SAVAGEUID,SEID,SWBH,UDID,WIFI_MAC_ADDR,YONKERSUID,CycleTime CycleTime,hidd_nonui display ECIDCount,hidd_nonui display_on_time EFI,hidd_nonui display_on_time NonUI,hidd_nonui display_on_time Total,MAX_TEMP battery GasGauge,MAX_TEMP pmu TDEV1,MAX_TEMP pmu TDEV2,MAX_TEMP pmu TDEV3,MAX_TEMP pmu TDEV4,MAX_TEMP pmu TDEV5,MAX_TEMP soc E_ACC_THERMAL0,MAX_TEMP soc P_ACC_THERMAL0,MAX_TEMP soc P_ACC_THERMAL1,MAX_TEMP soc THERMAL0,MAX_TEMP soc THERMAL1,MIN_TEMP battery GasGauge,MIN_TEMP pmu TDEV1,MIN_TEMP pmu TDEV2,MIN_TEMP pmu TDEV3,MIN_TEMP pmu TDEV4,MIN_TEMP pmu TDEV5,MIN_TEMP soc E_ACC_THERMAL0,MIN_TEMP soc P_ACC_THERMAL0,MIN_TEMP soc P_ACC_THERMAL1,MIN_TEMP soc THERMAL0,MIN_TEMP soc THERMAL1,UsbLocation UsbLocation
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA
FXGL,D42,C39YR00AN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000450,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:14:42,2019-07-05 09:15:29,,500.10.17-17A95220i,C079217004KL3C42,Foxconn,F5D92173WVYMHYJ4W,Desay Battery Co. Ltd.,DN891311K7FK91K2V,LG Innotek,C3992250009LC2WAM,Foxconn - Hong Fu Jin Precision Industry,C3992250008LTWCA9,Foxconn - Hong Fu Jin Precision Industry,C0792170003LTPJ3,Foxconn,C399224008RL8R0AF,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,041511DB3B528001910004415730041760B395E1F0963783,11000000000000000000000000000000,00008030-001414982680013A,ba:ba:ba:ba:ba:ba,CFSERRMG,47.264383,6,198048,1753813,1951861,39.5,48.59,47.5,48.71,55.43,46.35,66.75,70.7,70.7,60.56,61.68,28.5,29.2,29.26,28.94,29.74,29.26,31.54,30.76,30.37,31.45,30.46,437391360
FXGL,D42,C39YR00BN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000451,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:15:22,2019-07-05 09:16:03,,500.10.17-17A95220i,C079217003FL3C42,Foxconn,F5D92163CE5MHYJ4K,Desay Battery Co. Ltd.,DN891313FY8K91K2T,LG Innotek,C3992250016LC2WAM,Foxconn - Hong Fu Jin Precision Industry,C399225000FLTWCA2,Foxconn - Hong Fu Jin Precision Industry,C079217005WLTPJ3,Foxconn,C399224006XL8R0AF,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,042612DB3B528001910004420330041753FA8936045AEE8A,11000000000000000000000000000000,00008030-000924982680013A,ba:ba:ba:ba:ba:ba,CFSERRMG,41.187176,5,132601,883592,1016193,39.79,49.05,48.36,50.07,55.87,47.21,68.21,72.25,71.9,61.76,62.96,27.79,28.41,28.61,28.43,28.71,28.37,31.15,30.67,30.18,30.37,30.18,487788544
FXGL,D42,C39YR00HN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000457,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:21:37,2019-07-05 09:22:22,,500.10.17-17A95220i,C079217003NL3C42,Foxconn,F5D92156625MHYJ4K,Desay Battery Co. Ltd.,DN891311K6UK91K2K,LG Innotek,C399225000VLC2WA1,Foxconn - Hong Fu Jin Precision Industry,C399225000LLTWCAX,Foxconn - Hong Fu Jin Precision Industry,C079217001KLTPJ3,Foxconn,C399224006NL8R0AQ,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,041C12DB3B528001910004421330041713CCDBB2AAF27192,11000000000000000000000000000000,00008030-000431182680013A,ba:ba:ba:ba:ba:ba,CFSERRMG,45.495114,5,157279,1213026,1370305,36.79,47.48,46.61,48.43,54.19,45.29,65.64,69.59,69.93,59.87,61,27.2,28.13,28.26,28.48,28.39,28.06,29.98,29.29,29.5,29.59,29.01,487657472
FXGL,D42,C39YR00MN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M12WJ,000461,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:13:07,2019-07-05 09:13:45,,500.10.17-17A95220i,C0792170005L3C42,Foxconn,F5D92173WX4MHYJ4J,Desay Battery Co. Ltd.,DN891313FWVK91K2C,LG Innotek,C399225000DLC2WAH,Foxconn - Hong Fu Jin Precision Industry,C399225000KLTWCAY,Foxconn - Hong Fu Jin Precision Industry,C079217004NLTPJ3,Foxconn,C39922400ARL8R0A9,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,041A10DB3B5280019100044090300417A815E33347E0E492,11000000000000000000000000000000,00008030-000C30982680013A,ba:ba:ba:ba:ba:ba,CFSERRMG,38.706809,5,144731,1048738,1193469,37.9,47.02,46.33,47.6,53.81,44.49,64.68,68.81,69.59,58.93,60.56,27.5,28.18,28.39,28.4,28.74,28.02,29.89,29.29,29.98,29.89,29.68,487657472
FXGL,D42,C39YR00PN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000354,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:21:42,2019-07-05 09:22:23,,500.10.17-17A95220i,C079216003EL39Q2,Foxconn,F5D92175PAKMHYJ4Z,Desay Battery Co. Ltd.,DN891311K5QK91K2S,LG Innotek,C399225002NLC2WA2,Foxconn - Hong Fu Jin Precision Industry,C399225002DLTWCAY,Foxconn - Hong Fu Jin Precision Industry,C0792160019LTQ43,Foxconn,C39922400CDL8R0AF,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,042914DB3B52800191000443313004179B773E52C596E5ED,41010000000000000000000000000000,00008030-000628DE0180012E,ba:ba:ba:ba:ba:ba,CFSERRMG,41.615924,5,135000,1265710,1400710,36.5,47.31,46.4,48.03,54,44.91,66.5,70.1,70.18,60.14,61.34,26.6,27.42,27.37,27.49,27.77,27.16,29.1,29.01,28.81,28.62,28.9,437391360
