LOG-COLLECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parametric
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,List of Failing Tests,Version,BMLB-Serial Number,BMLB-Vendor,BTY-Serial Number,BTY-Vendor,CAM-Serial Number,CAM-Vendor,CGS-Serial Number,CGS-Vendor,HSGA-Serial Number,HSGA-Vendor,MLB-Serial Number,MLB-Vendor,PEARL-Serial Number,PEARL-Vendor,BASEBAND_GOLDCERT_ID,BT_MAC_ADDRESS,IMEI,OS_BUILD_VERSION_FATP,PRODUCTION_SOC,SAVAGEUID,SEID,SWBH,UDID,WIFI_MAC_ADDR,YONKERSUID,CycleTime CycleTime,hidd_nonui display ECIDCount,hidd_nonui display_on_time EFI,hidd_nonui display_on_time NonUI,hidd_nonui display_on_time Total,MAX_TEMP battery GasGauge,MAX_TEMP pmu TDEV1,MAX_TEMP pmu TDEV2,MAX_TEMP pmu TDEV3,MAX_TEMP pmu TDEV4,MAX_TEMP pmu TDEV5,MAX_TEMP soc E_ACC_THERMAL0,MAX_TEMP soc P_ACC_THERMAL0,MAX_TEMP soc P_ACC_THERMAL1,MAX_TEMP soc THERMAL0,MAX_TEMP soc THERMAL1,MIN_TEMP battery GasGauge,MIN_TEMP pmu TDEV1,MIN_TEMP pmu TDEV2,MIN_TEMP pmu TDEV3,MIN_TEMP pmu TDEV4,MIN_TEMP pmu TDEV5,MIN_TEMP soc E_ACC_THERMAL0,MIN_TEMP soc P_ACC_THERMAL0,MIN_TEMP soc P_ACC_THERMAL1,MIN_TEMP soc THERMAL0,MIN_TEMP soc THERMAL1,UsbLocation UsbLocation
FXGL,D42,C39YR00PN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000354,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:23:10,2019-07-05 09:23:17,,500.10.17-17A95220i,C079216003EL39Q2,Foxconn,F5D92175PAKMHYJ4Z,Desay Battery Co. Ltd.,DN891311K5QK91K2S,LG Innotek,C399225002NLC2WA2,Foxconn - Hong Fu Jin Precision Industry,C399225002DLTWCAY,Foxconn - Hong Fu Jin Precision Industry,C0792160019LTQ43,Foxconn,C39922400CDL8R0AF,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,042914DB3B52800191000443313004179B773E52C596E5ED,41010000000000000000000000000000,00008030-000628DE0180012E,ba:ba:ba:ba:ba:ba,CFSERRMG,8.093774,5,135000,1265848,1400848,,,,,,,,,,,,,,,,,,,,,,,437391360
FXGL,D42,C39YR00QN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000342,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:16:20,2019-07-05 09:17:05,,500.10.17-17A95220i,C079216001HL39Q2,Foxconn,F5D92163BT5MHYJ4F,Desay Battery Co. Ltd.,DN891312DZZK91K24,LG Innotek,C399225002WLC2WAU,Foxconn - Hong Fu Jin Precision Industry,C399225002JLTWCAT,Foxconn - Hong Fu Jin Precision Industry,C0792160007LTQ43,Foxconn,C399224006VL8R0AH,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,041E15DB3B5280019100044410300417734B3F0B97084068,41010000000000000000000000000000,00008030-00161DDE0180012E,ba:ba:ba:ba:ba:ba,CFSERRMG,45.271281,5,164555,1301265,1465820,38.9,49.47,48.28,50.18,55.97,47.28,68.29,72.34,72.25,62.71,63.31,27.39,28.37,28.33,28.28,28.46,28.18,30.28,30.18,30.18,30.37,29.89,487788544
FXGL,D42,C39YR012N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000416,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:21:19,2019-07-05 09:21:58,,500.10.17-17A95220i,C079217003YL3C42,Foxconn,F5D92173V1XMHYJ4E,Desay Battery Co. Ltd.,DN891312DW5K91K27,LG Innotek,C3992250057LC2WA8,Foxconn - Hong Fu Jin Precision Industry,C399225003DLTWCAV,Foxconn - Hong Fu Jin Precision Industry,C0792170007LTPJ3,Foxconn,C39922400C8L8R0AL,Foxconn - Hong Fu Jin Precision Industry,653523660,cc:d2:81:04:b7:af,353232100440256,17A95220i,0,AE50535FD5FF473DAF80935037A47F7C,040D12DB3B52800191000442283004177D92B39E1AD3C416,11000000000000000000000000000000,00008030-000868982680013A,cc:d2:81:05:8b:e4,CFSERRMG,40.448916,6,109436,758022,867458,39,46.73,45.65,47.28,53.16,44.19,64.68,68.46,68.73,58.76,60.04,28.29,28.74,28.92,28.92,28.91,28.54,30.67,30.46,30.37,30.37,30.28,487788544
FXGL,D42,C39YR013N2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000367,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:22:52,2019-07-05 09:23:31,,500.10.17-17A95220i,C079216001EL39Q2,Foxconn,F5D92162TMCMHYJ4D,Desay Battery Co. Ltd.,DN891312E1VK91K21,LG Innotek,C399225002SLC2WAY,Foxconn - Hong Fu Jin Precision Industry,C399225002MLTWCAQ,Foxconn - Hong Fu Jin Precision Industry,C079216003WLTQ43,Foxconn,C39922400C0L8R0AU,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,041915DB3B52800191000444153004170EAADEA4BF117583,41010000000000000000000000000000,00008030-00021CE90180012E,ba:ba:ba:ba:ba:ba,CFSERRMG,40.055203,5,127219,1444264,1571483,37.7,46.97,45.61,47.41,53.28,44.65,64.95,68.46,68.39,59.7,60.21,27.39,27.93,27.73,27.83,28.21,27.78,30.28,29.68,30.07,30.46,29.89,487788544
FXGL,D42,C39YR01DN2QN,D42-CARRIERMINI,D42-CARRIERMINI_6M14WJ,000344,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:20:49,2019-07-05 09:21:28,,500.10.17-17A95220i,C0792160021L39Q2,Foxconn,F5D92175H5WMHYJ49,Desay Battery Co. Ltd.,DN891312DV8K91K27,LG Innotek,C399225002QLC2WA0,Foxconn - Hong Fu Jin Precision Industry,C3992250021LTWCAA,Foxconn - Hong Fu Jin Precision Industry,C079216001ELTQ43,Foxconn,C399224009WL8R0A7,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,042B15DB3B528001910004439730041713F961C8A52A195F,41010000000000000000000000000000,00008030-001651DE0180012E,ba:ba:ba:ba:ba:ba,CFSERRMG,39.69996,5,148057,1244957,1393014,36.4,46.19,44.98,46.63,52.34,43.66,64.6,68.12,68.04,58.76,59.7,27.6,28.17,27.94,28.17,28.36,27.85,30.57,29.98,29.98,29.98,29.68,437391360
FXGL,D42,C39YR01DN2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000405,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:18:33,2019-07-05 09:19:09,,500.10.17-17A95220i,C079217004EL3C42,Foxconn,F5D92175BHYMHYJ4B,Desay Battery Co. Ltd.,DN891311K5KK91K2X,LG Innotek,C399225004KLC2WAZ,Foxconn - Hong Fu Jin Precision Industry,C399225002XLTWCAE,Foxconn - Hong Fu Jin Precision Industry,C079217003ALTPJ3,Foxconn,C39922400BZL8R0AY,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,043012DB3B528001910004419330041752A2523DD1E9B693,11000000000000000000000000000000,00008030-00092D982680013A,ba:ba:ba:ba:ba:ba,CFSERRMG,36.353814,5,124283,939046,1063329,39.29,48.82,47.85,49.66,56.01,47.14,67.01,71.04,71.21,61.07,62.71,28.29,28.73,29.03,28.83,29.28,29.07,31.15,30.67,30.37,30.85,31.06,487788544
FXGL,D42,C39YR01PN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000612,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:17:29,2019-07-05 09:18:09,,500.10.17-17A95220i,C079217004HL39Q2,Foxconn,F5D921731A9MHYJ43,Desay Battery Co. Ltd.,DN891772KUYK91K2W,LG Innotek,C399226006YLC2WAD,Foxconn - Hong Fu Jin Precision Industry,C399226006DLTW9AN,Foxconn - Hong Fu Jin Precision Industry,C079222002CLTQ43,Foxconn,C3992250030L8R0AL,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,042C149BDD51800190710280353001390BD24EE6524571AE,41010000000000000000000000000000,00008030-0005186E3A80013A,ba:ba:ba:ba:ba:ba,CFSERRMG,41.411014,5,151914,597470,749384,39,48.95,48.03,50.2,55.3,47.33,67.7,70.62,70.96,62.28,62.79,28,28.61,28.44,28.8,28.54,28.53,30.67,30.67,30.46,31.06,30.76,487788544
FXGL,D42,C39YR01SN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000615,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:14:15,2019-07-05 09:14:55,,500.10.17-17A95220i,C079217003ML39Q2,Foxconn,F5D921656NMMHYJ4D,Desay Battery Co. Ltd.,DN891772KW8K91K2E,LG Innotek,C399226005QLC2WAQ,Foxconn - Hong Fu Jin Precision Industry,C399226006VLTW9A6,Foxconn - Hong Fu Jin Precision Industry,C0792220026LTQ43,Foxconn,C399225008QL8R0AF,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,040F159BDD5180019071028132300139EB26D23EC463F10D,41010000000000000000000000000000,00008030-000165AE3A80013A,ba:ba:ba:ba:ba:ba,CFSERRMG,40.182047,5,171768,1013810,1185578,41.09,50.9,50.2,51.7,56.6,48.41,69.67,73.28,73.03,64.17,63.75,28.7,29.16,29.16,29.38,29.74,28.73,31.64,31.54,30.67,31.75,31.06,487788544
FXGL,D42,C39YR022N2QV,D42-CARRIERMINI,D42-CARRIERMINI_2M10WJ,000413,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:22:49,2019-07-05 09:23:30,,500.10.17-17A95220i,C0792170032L3C42,Foxconn,F5D92174T3DMHYJ4R,Desay Battery Co. Ltd.,DN891312E48K91K2D,LG Innotek,C399225004FLC2WA3,Foxconn - Hong Fu Jin Precision Industry,C399225003PLTWCAK,Foxconn - Hong Fu Jin Precision Industry,C079217000SLTPJ3,Foxconn,C39922400CYL8R0AW,Foxconn - Hong Fu Jin Precision Industry,653523660,cc:d2:81:08:e7:d9,353232100489162,17A95220i,0,7D4B66E96D5D7A78D70A6D638318A647,043212DB3B5280019100044191300417ADE96D5C65275E74,11000000000000000000000000000000,00008030-001428982680013A,cc:d2:81:08:d6:a8,CFSERRMG,41.648173,5,110220,812227,922447,36.9,45.91,45.09,46.63,52.43,43.7,63.48,66.92,68.12,58.42,59.35,27.39,27.85,27.97,28.11,28.41,27.83,29.68,29.1,29.59,30.28,29.2,487657472
FXGL,D42,C39YR029N2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000630,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:14:21,2019-07-05 09:15:01,,500.10.17-17A95220i,C0792170045L39Q2,Foxconn,F5D92172UZ1MHYJ4L,Desay Battery Co. Ltd.,DN891772L7LK91K22,LG Innotek,C399226006HLC2WAU,Foxconn - Hong Fu Jin Precision Industry,C399226006SLTW9A9,Foxconn - Hong Fu Jin Precision Industry,C0792220030LTQ43,Foxconn,C399225008GL8R0AP,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,041A149BDD51800190710280533001396B6E7B59EC103EAA,41010000000000000000000000000000,00008030-0014691E3A80013A,ba:ba:ba:ba:ba:ba,CFSERRMG,40.662682,5,145733,800508,946241,40,49.77,48.13,49.77,55.91,46.9,68.56,71.82,72.17,62.37,63.57,28.6,29.11,28.76,28.68,29.27,28.7,32.03,31.54,31.84,31.25,31.45,487657472
FXGL,D42,C39YR02AN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M17B,000634,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:20:22,2019-07-05 09:21:01,,500.10.17-17A95220i,C0792170047L39Q2,Foxconn,F5D92172WY0MHYJ4N,Desay Battery Co. Ltd.,DN891772KWLK91K22,LG Innotek,C399226006QLC2WAM,Foxconn - Hong Fu Jin Precision Industry,C399226006LLTW9AF,Foxconn - Hong Fu Jin Precision Industry,C079222001MLTQ43,Foxconn,C399225006NL8R0AP,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,0418149BDD518001907102805530013969B3F03CB69FB419,41010000000000000000000000000000,00008030-0019486E3A80013A,ba:ba:ba:ba:ba:ba,CFSERRMG,39.828837,5,146670,1147654,1294324,38,47.48,46.56,48.3,53.72,45.25,65.89,69.07,68.73,59.96,60.56,28.29,28.59,28.61,28.92,28.76,28.55,30.67,29.98,29.59,30.57,30.07,487788544
FXGL,D42,C39YR033N2QT,D42-CARRIERMINI,D42-CARRIERMINI_2M4B,000316,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:20:20,2019-07-05 09:21:00,,500.10.17-17A95220i,C07921600AXL3C42,Foxconn,F5D92174VE9MHYJ4U,Desay Battery Co. Ltd.,DN891313GP7K91K2L,LG Innotek,C3992240021LC2WAQ,Foxconn - Hong Fu Jin Precision Industry,C399224001WLTW9AN,Foxconn - Hong Fu Jin Precision Industry,C07921600A1LTPJ3,Foxconn,C399223009FL8R0AP,Foxconn - Hong Fu Jin Precision Industry,653523660,ba:ba:ba:ba:ba:ba,000000000000000,17A95220i,0,00000000000000000000000000000000,042C189BDD518001907102831330013956D8C2CB9C445871,11000000000000000000000000000000,00008030-001178363A80013A,ba:ba:ba:ba:ba:ba,CFSERRMG,40.829598,5,134272,1463790,1598062,36.59,47.38,46.49,48.1,54.1,44.93,67.09,71.21,70.7,61.34,62.2,27.5,27.87,27.74,27.73,27.95,27.35,30.07,30.46,29.98,30.07,30.07,487657472
FXGL,D42,C39YR05EN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M22BJ,000881,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:18:29,2019-07-05 09:19:05,,500.10.17-17A95220i,C079222001VL39Q2,Foxconn,F8Y92150126MHYH2L,Sunwoda Electronics Co. Ltd.,DN891431YGZK91K5R,LG Innotek,C39922700AMLC2WAB,Foxconn - Hong Fu Jin Precision Industry,C3992270072LTW9AV,Foxconn - Hong Fu Jin Precision Industry,C07922200B8LTQ43,Foxconn,C399226007PL8R0AJ,Foxconn - Hong Fu Jin Precision Industry,653523660,cc:d2:81:0a:03:2e,353867100489959,17A95220i,0,04FECEC4634EE867AAC29F165D54E1A3,04290EDB3B52800191000439563004179B252287FD077F5F,41010000000000000000000000000000,00008030-001E545E3A80013A,cc:d2:81:0a:81:72,CFSERRMG,36.980745,5,121847,1312607,1434454,37.9,46.87,45.63,47.53,53.28,44.51,63.92,67.78,67.95,58.42,59.79,27.89,28.48,28.5,28.55,28.77,28.27,30.67,30.37,30.46,30.46,30.46,487657472
FXGL,D42,C39YV001N2R2,D42-CARRIER,D42-CARRIER_2G31RX,006072,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:17:31,2019-07-05 09:18:11,,500.10.17-17A95220i,C07923400Q9L3C42,Foxconn,F8Y921103B0LTDD2M,Sunwoda Electronics Co. Ltd.,DN891624GSTK91K39,LG Innotek,C39924300EBLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399243009KLTWDA0,Foxconn - Hong Fu Jin Precision Industry,C07923400CGLTQ03,Foxconn,C39924200BXL8R0AW,Foxconn - Hong Fu Jin Precision Industry,1038892196,cc:d2:81:07:6b:34,353232100342502,17A95220i,0,26540F60C44BE895276492B2C24C8E47,044C2E6BDD51800190710245703001390301487856D731F0,11000000000000000000000000000000,00008030-001431C63440012E,cc:d2:81:05:72:31,CFSERRMG,40.526998,5,78639,403373,482012,36.2,46.75,45.59,47.02,54.03,44.36,61.68,65.81,65.37,56.78,57.56,27.29,27.81,27.97,28.01,28.53,27.97,27.34,27.45,26.95,27.73,27.06,487657472
FXGL,D42,C39YV004N2R2,D42-CARRIER,D42-CARRIER_2G31RX,006075,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:15:27,2019-07-05 09:16:04,,500.10.17-17A95220i,C07923400QAL3C42,Foxconn,F8Y921103M1LTDD2Q,Sunwoda Electronics Co. Ltd.,DN891624GT4K91K3V,LG Innotek,C39924300EWLC2WAN,Foxconn - Hong Fu Jin Precision Industry,C399243008MLTWDA1,Foxconn - Hong Fu Jin Precision Industry,C07923400C7LTQ03,Foxconn,C3992420049L8R0A5,Foxconn - Hong Fu Jin Precision Industry,1038892196,cc:d2:81:06:af:88,353232100404757,17A95220i,0,EA09CEAFF7573436B94E3168FCAC943A,044B2E6BDD518001907102457130013945A6BC6F638C44E2,11000000000000000000000000000000,00008030-001165C63440012E,cc:d2:81:08:eb:65,CFSERRMG,37.831437,5,71013,618588,689601,39.7,49.9,48.74,50.59,57.67,47.45,65.89,69.32,69.15,60.14,61.17,28.39,29.15,29.32,29.58,29.99,29.12,29.4,28.9,28.81,29.01,29.01,487657472
FXGL,D42,C39YV00DN2R2,D42-CARRIER,D42-CARRIER_2G31RX,006084,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:16:23,2019-07-05 09:17:06,,500.10.17-17A95220i,C07923400G3L3C42,Foxconn,F8Y921102PYLTDD2N,Sunwoda Electronics Co. Ltd.,DN891624GXVK91K3S,LG Innotek,C39924300D9LC2WAC,Foxconn - Hong Fu Jin Precision Industry,C399243009DLTWDA6,Foxconn - Hong Fu Jin Precision Industry,C0792340064LTQ03,Foxconn,C399242005WL8R0AF,Foxconn - Hong Fu Jin Precision Industry,1038892196,cc:d2:81:08:c0:54,353232100098674,17A95220i,0,D9819811CFEAA52945263AFBAABCE614,041C2E6BDD51800190710246183001392C7FC42E780307E6,11000000000000000000000000000000,00008030-001C28263440012E,cc:d2:81:05:95:eb,CFSERRMG,44.088201,5,77655,635260,712915,39.4,48.79,47.41,48.43,55.33,45.84,64.6,67.78,68.56,58.76,59.45,28.1,28.81,28.63,28.37,28.74,28.48,29.4,28.32,28.71,29.1,28.32,487657472
