Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime
FXGL,D42,C39YV05JN2RN,D42-CARRIER,D42-CARRIER_1AFR1G,005326,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 23:11:16,2019-07-05 23:14:11
FXGL,D42,C39YV05JN2RN,D42-CARRIER,D42-CARRIER_1AFR1G,005326,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 23:18:44,2019-07-05 23:21:40
FXGL,D42,C39YV05JN2RN,D42-CARRIER,D42-CARRIER_1AFR1G,005326,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 23:22:49,2019-07-05 23:25:45
FXGL,D42,C39YV116N2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007442,FXGL_C03-3F-DQE_11_QT1-PREBURN,PASS,2019-07-05 22:59:22,2019-07-05 23:02:19
FXGL,D42,C39YV11NN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007396,FXGL_C03-3F-DQE_3_QT1-PREBURN,PASS,2019-07-05 23:59:05,2019-07-06 00:02:00
FXGL,D42,C39YV11PN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007453,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 23:14:56,2019-07-05 23:17:51
FXGL,D42,C39YV11PN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007453,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 23:27:23,2019-07-05 23:30:20
FXGL,D42,C39YV11PN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007453,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 23:33:16,2019-07-05 23:36:12
FXGL,D42,C39YV11PN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007453,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 23:39:00,2019-07-05 23:41:57
FXGL,D42,C39YV11PN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007453,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 23:45:19,2019-07-05 23:48:15
FXGL,D42,C39YV130N2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007478,FXGL_C03-3F-DQE_11_QT1-PREBURN,PASS,2019-07-05 23:02:42,2019-07-05 23:05:39
FXGL,D42,C39YV13VN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007493,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 23:15:00,2019-07-05 23:17:56
FXGL,D42,C39YV13VN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007493,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 23:31:07,2019-07-05 23:34:03
FXGL,D42,C39YV13VN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007493,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 23:35:20,2019-07-05 23:38:17
FXGL,D42,C39YV13VN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007493,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 23:41:02,2019-07-05 23:43:57
FXGL,D42,C39YV14XN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007561,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 23:05:54,2019-07-05 23:08:50
FXGL,D42,C39YV14XN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007561,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 23:11:15,2019-07-05 23:14:09
FXGL,D42,C39YV14XN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007561,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 23:29:27,2019-07-05 23:32:22
FXGL,D42,C39YV14XN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007561,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 23:37:34,2019-07-05 23:40:29
FXGL,D42,C39YV14XN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007561,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 23:42:40,2019-07-05 23:45:37
