QT1-PREBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,Parametric
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,List of Failing Tests,Version,BMLB-Serial Number,BMLB-Vendor,BTY-Serial Number,BTY-Vendor,CAM-Serial Number,CAM-Vendor,CGS-Serial Number,CGS-Vendor,HSGA-Serial Number,HSGA-Vendor,MLB-Serial Number,MLB-Vendor,PEARL-Serial Number,PEARL-Vendor,VA_COMPASS_REVID,1K_ExtTone_SPK_to_Mic2_Frequency,1K_ExtTone_SPK_to_Mic2_Power,1kHz_ExtTone_SPK_to_Low_Power_Mic2_Frequency,1kHz_ExtTone_SPK_to_Low_Power_Mic2_Power,2K_Tone_SPK_to_MIC1_Low_Power_Frequency,2K_Tone_SPK_to_MIC1_Low_Power_Power,2K_Tone_SPK_to_MIC4_Low_Power_Frequency,2K_Tone_SPK_to_MIC4_Low_Power_Power,3K_Tone_SPK_to_MIC1_Frequency,3K_Tone_SPK_to_MIC1_Power,3K_Tone_SPK_to_MIC4_Frequency,3K_Tone_SPK_to_MIC4_Power,3K_Tone_TopSpk_to_Low_Power_MIC3_Frequency,3K_Tone_TopSpk_to_Low_Power_MIC3_Power,3K_Tone_TopSpk_to_MIC3_Frequency,3K_Tone_TopSpk_to_MIC3_Power,4K_Tone_HAC_to_Mic4_Frequency,4K_Tone_HAC_to_Mic4_Peak_Mag,ALS_CH1_Dark,ALS_CH1_LED,ALS_CH2_Dark,ALS_CH2_LED,ALS_CH3_Dark,ALS_CH3_LED,ALS_CH4_Dark,ALS_CH4_LED,ALS_CH5_Dark,ALS_CH5_LED,ALS_CHx_Dark_Fixture,Battery_Cell_ID,Battery_CFG_Version,Battery_CFG_Version_Check,Battery_Charge_Percentage,Battery_Current,Battery_Cycle_Count,Battery_Design_Capacity,Battery_DNVD1_Version,Battery_DNVD2_Version,Battery_Full_Charge_Capacity,Battery_FW_Version,Battery_FW_Version_Check,Battery_Lifetime_Max_Temp,Battery_Lifetime_Max_Voltage,Battery_Lifetime_Min_Temp,Battery_Lifetime_Min_Voltage,Battery_Nominal_Capacity,Battery_Qmax_Capacity,Battery_Remaining_Capacity,Battery_Voltage,CDCC_Slope_Compass_X,CDCC_Slope_Compass_Y,CDCC_Slope_Compass_Z,COOL_FLASH_light_intensity,COOL_FLASH_Off_light_intensity,COOL_FLASH_Register_Value,CVCC_Slope_Compass_X,CVCC_Slope_Compass_Y,CVCC_Slope_Compass_Z,Display_Compass_PostCalError_X,Display_Compass_PostCalError_Y,Display_Compass_PostCalError_Z,Display_Compass_PostCalErrorM,Display_Delta_Compass_X_Post,Display_Delta_Compass_Y_Post,Display_Delta_Compass_Z_Post,Display_Off_AVG_Compass_X_Post,Display_Off_AVG_Compass_Y_Post,Display_Off_AVG_Compass_Z_Post,Display_Off_Detect,Display_Off_STD_Compass_X_Post,Display_Off_STD_Compass_Y_Post,Display_Off_STD_Compass_Z_Post,Display_On_AVG_Compass_X_Post,Display_On_AVG_Compass_Y_Post,Display_On_AVG_Compass_Z_Post,Display_On_Detect,Display_On_STD_Compass_X_Post,Display_On_STD_Compass_Y_Post,Display_On_STD_Compass_Z_Post,Display_Slope_Compass_X_Post,Display_Slope_Compass_Y_Post,Display_Slope_Compass_Z_Post,Double_Click_Detect,Fixture_ID_QT1,Flap_South_Hysteresis,Flap_South_Release_distance,Flap_South_Trigger_distance,Gecko_Buck_1V5_iFixture_500mA,Gecko_Buck_1V5_iFixture_No_Load,Gecko_Buck_1V5_vBuck_500mA,Gecko_Buck_1V5_vBuck_No_Load,Gecko_Buck_1V9_iFixture_500mA,Gecko_Buck_1V9_iFixture_No_Load,Gecko_Buck_1V9_vBuck_500mA,Gecko_Buck_1V9_vBuck_NoLoad,Gecko_Bypass_iFixture_500mA,Gecko_Bypass_vBypass_500mA,Gecko_Normal_3V3_iFixture_250mA,Gecko_Normal_3V3_iLDO_250mA,Gecko_Normal_3V3_vLDO_250mA,Gecko_Off_Discharge_FET_OFF_0mS_vOut,Gecko_Off_Discharge_FET_OFF_50mS_vOut,Gecko_Off_Discharge_FET_ON_0mS_vOut,Gecko_Off_Discharge_FET_ON_50mS_vOut,Juliet_IR_Test_LED_OFF,Juliet_IR_Test_LED_ON,MIXED_WARM/COOL_FLASH_light_intensity,MIXED_WARM/COOL_FLASH_Off_light_intensity,MIXED_WARM/COOL_FLASH_Register_Value,Penrose_AC_IR_Light_IR_CH_DC_Magnitude,Penrose_AC_IR_Light_IR_CH_Frequency,Penrose_AC_IR_Light_IR_CH_Power,Penrose_AC_IR_Light_IR_CH_SINAD,Penrose_AC_IR_Light_IR_CH_THD+N,Penrose_AC_IR_Light_Ratio,Penrose_AC_IR_Light_VIS_CH_DC_Magnitude,Penrose_AC_IR_Light_VIS_CH_Frequency,Penrose_AC_IR_Light_VIS_CH_Power,Penrose_AC_IR_Light_VIS_CH_SINAD,Penrose_AC_IR_Light_VIS_CH_THD+N,Penrose_AC_VIS_Light_IR_CH_DC_Magnitude,Penrose_AC_VIS_Light_IR_CH_Frequency,Penrose_AC_VIS_Light_IR_CH_Power,Penrose_AC_VIS_Light_IR_CH_SINAD,Penrose_AC_VIS_Light_IR_CH_THD+N,Penrose_AC_VIS_Light_Ratio,Penrose_AC_VIS_Light_VIS_CH_DC_Magnitude,Penrose_AC_VIS_Light_VIS_CH_Frequency,Penrose_AC_VIS_Light_VIS_CH_Power,Penrose_AC_VIS_Light_VIS_CH_SINAD,Penrose_AC_VIS_Light_VIS_CH_THD+N,Penrose_DC_Dark_IR_CH,Penrose_DC_Dark_Ratio,Penrose_DC_Dark_VIS_CH,Penrose_DC_VIS_Bright_Light_IR_CH,Penrose_DC_VIS_Bright_Light_Ratio,Penrose_DC_VIS_Bright_Light_VIS_CH,Penrose_DC_VIS_Low_Light_IR_CH,Penrose_DC_VIS_Low_Light_Ratio,Penrose_DC_VIS_Low_Light_VIS_CH,PMURinger,PROX_QT_DEV_ID,PROX_QT_NO_TARGET_AMB_AVE,PROX_QT_NO_TARGET_AMB_STD,PROX_QT_NO_TARGET_RAW_DIST_AVE,PROX_QT_NO_TARGET_RAW_DIST_STD,PROX_QT_NO_TARGET_REF_SIG_AVE,PROX_QT_NO_TARGET_REF_SIG_STD,PROX_QT_NO_TARGET_SIG_AVE,PROX_QT_NO_TARGET_SIG_STD,PROX_QT_REV_ID,PROX_QT_TARGET_AMB_AVE,PROX_QT_TARGET_AMB_STD,PROX_QT_TARGET_RAW_DIST_AVE,PROX_QT_TARGET_RAW_DIST_STD,PROX_QT_TARGET_REF_SIG_AVE,PROX_QT_TARGET_REF_SIG_STD,PROX_QT_TARGET_SIG_AVE,PROX_QT_TARGET_SIG_STD,Torch_On_IBUS_Post,Torch_On_VBUS_Off_AVG_Compass_X_Post,Torch_On_VBUS_Off_AVG_Compass_Y_Post,Torch_On_VBUS_Off_AVG_Compass_Z_Post,Torch_On_VBUS_Off_STD_Compass_X_Post,Torch_On_VBUS_Off_STD_Compass_Y_Post,Torch_On_VBUS_Off_STD_Compass_Z_Post,Torch_On_VBUS_On_AVG_Compass_X_Post,Torch_On_VBUS_On_AVG_Compass_Y_Post,Torch_On_VBUS_On_AVG_Compass_Z_Post,Torch_On_VBUS_On_STD_Compass_X_Post,Torch_On_VBUS_On_STD_Compass_Y_Post,Torch_On_VBUS_On_STD_Compass_Z_Post,Torch_VBUS_Delta_Compass_X_Post,Torch_VBUS_Delta_Compass_Y_Post,Torch_VBUS_Delta_Compass_Z_Post,Torch_VBUS_Slope_Compass_X_Post,Torch_VBUS_Slope_Compass_Y_Post,Torch_VBUS_Slope_Compass_Z_Post,VBUS_SlopeCompass_PostCalError_X,VBUS_SlopeCompass_PostCalError_Y,VBUS_SlopeCompass_PostCalError_Z,VBUS_SlopeCompass_PostCalErrorM,veridian_reset_counter_cfg_fw_updated,veridian_reset_counter_comm,veridian_reset_counter_hw,veridian_reset_counter_sw,veridian_reset_counter_wdt,veridian_reset_last_reason,WARM_FLASH_light_intensity,WARM_FLASH_Off_light_intensity,WARM_FLASH_Register_Value
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:33:10,2019-07-05 10:33:51,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.007718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1.2,7.6,6.4,,,,,,,,,,,,,,,,,,,,36735,0,15,0.158259,500.9765619999999,0.424262,49.94289599999999,-7.724056999999999,95.96516625197918,0.146699,500.9765619999999,0.4421,49.92824099999999,-7.724472999999999,,,,,,,,,,,,,,,0.06596164002966964,6.993559230730856,0.943176969744151,0.05867359289198981,7.991666784710401,0.7341846760208234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:34:01,2019-07-05 10:34:42,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.00773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0.95,7.35,6.4,,,,,,,,,,,,,,,,,,,,36751,0,15,0.158365,500.9765619999999,0.424022,50.04596099999999,-7.722349,95.96731848632992,0.146803,500.9765619999999,0.44184,50.05988099999999,-7.722943999999999,,,,,,,,,,,,,,,0.06600206994384161,6.998482250969837,0.9430911957331198,0.05865694518907938,7.989550567046159,0.7341707733976532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:34:51,2019-07-05 10:35:32,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.007755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1.45,7.6,6.15,,,,,,,,,,,,,,,,,,,,36676,0,15,0.15808,500.9765619999999,0.424506,50.168371,-7.717966999999999,95.96869362342825,0.146525,500.9765619999999,0.442338,50.158134,-7.718479,,,,,,,,,,,,,,,0.06600025060436665,6.99793584762382,0.9431388346719028,0.05866068082287745,7.991865045456084,0.7340048973453327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:35:56,2019-07-05 10:36:37,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.00778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0.95,7.35,6.4,,,,,,,,,,,,,,,,,,,,37059,0,15,0.158852,500.9765619999999,0.423101,51.150172,-7.724529999999998,95.97043092458932,0.147338,500.9765619999999,0.440866,51.15475399999999,-7.725073999999999,,,,,,,,,,,,,,,0.06599656603338044,7.001855603146338,0.9425582270466186,0.05861651996570372,7.995011702645267,0.7331636543610008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:36:52,2019-07-05 10:37:33,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.007753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1.2,7.6,6.4,,,,,,,,,,,,,,,,,,,,36732,0,15,0.158437,500.9765619999999,0.4239220000000001,51.730545,-7.722616999999999,95.97292341128797,0.14692,500.9765619999999,0.44171,51.74023,-7.723209999999999,,,,,,,,,,,,,,,0.06590994309004095,6.98657471125349,0.9433799224085841,0.05856539734918964,7.992840267965194,0.7327232296123333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:37:42,2019-07-05 10:38:23,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.007759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1.45,7.6,6.15,,,,,,,,,,,,,,,,,,,,37013,0,15,0.158314,500.9765619999999,0.424144,50.83829099999999,-7.719587999999999,95.9706031424227,0.146783,500.9765619999999,0.441952,50.891973,-7.720174999999999,,,,,,,,,,,,,,,0.06599136663477256,6.996677029890474,0.943181546795016,0.05863966794272724,7.989652093274697,0.7339451988414774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:38:44,2019-07-05 10:39:23,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.015436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.7,7.85,6.15,,,,,,,,,,,,,,,,,,,,46313,0,15,0.134331,500.9765619999999,0.468782,51.010958,-7.714725999999999,96.43755695856194,0.123049,500.9765619999999,0.486099,51.009025,-7.71526,,,,,,,,,,,,,,,0.06837864445420838,6.948227603312815,0.9841163582725242,0.06481524147004669,7.159267082481407,0.9053334751073664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:39:35,2019-07-05 10:40:14,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.015545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.45,7.85,6.4,,,,,,,,,,,,,,,,,,,,46120,0,15,0.135101,500.9765619999999,0.467307,51.41473799999999,-7.714979999999998,96.42591843640894,0.123823,500.9765619999999,0.4846280000000001,51.43126499999999,-7.715399,,,,,,,,,,,,,,,0.06834440843754419,6.944399526226387,0.9841658473051996,0.06479854584911116,7.164091716964546,0.904490735310778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:40:21,2019-07-05 10:41:00,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.015475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.2,7.6,6.4,,,,,,,,,,,,,,,,,,,,46313,0,15,0.135042,500.9765619999999,0.4673760000000001,49.82389699999999,-7.710875999999999,96.42006151891057,0.123773,500.9765619999999,0.484729,49.82994899999999,-7.711295,,,,,,,,,,,,,,,0.06835808650213782,6.947356662160991,0.9839438195890013,0.06484519119511933,7.169438617137142,0.9044667882380578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:41:28,2019-07-05 10:42:07,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.01544999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.45,7.85,6.4,,,,,,,,,,,,,,,,,,,,46224,0,15,0.135063,500.9765619999999,0.4673640000000001,50.774504,-7.712579999999999,96.41738699894789,0.123756,500.9765619999999,0.48473,50.78285699999999,-7.712989999999999,,,,,,,,,,,,,,,0.06832073011058892,6.943857122843663,0.983901726402603,0.06485963301626596,7.172698761496035,0.904257033132923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:42:13,2019-07-05 10:42:52,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.015406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.2,7.6,6.4,,,,,,,,,,,,,,,,,,,,46147,0,15,0.134975,500.9765619999999,0.467604,50.85648799999999,-7.715762,96.41796707465934,0.123674,500.9765619999999,0.4849760000000001,50.832252,-7.716197,,,,,,,,,,,,,,,0.06837492187927141,6.948666307440774,0.9840006535650466,0.06480855389402096,7.167874059574491,0.9041530774030956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:42:58,2019-07-05 10:43:38,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.015369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.45,7.85,6.4,,,,,,,,,,,,,,,,,,,,46000,0,15,0.135027,500.9765619999999,0.467508,50.25811500000001,-7.715244,96.41586596464742,0.123721,500.9765619999999,0.4848870000000001,50.237958,-7.715729999999999,,,,,,,,,,,,,,,0.06831198046044262,6.942302178123979,0.9839960679859456,0.06483139869252763,7.170812171933888,0.904101197159698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:43:44,2019-07-05 10:44:24,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.45,7.85,6.4,,,,,,,,,,,,,,,,,,,,46167,0,15,0.13455,500.9765619999999,0.468323,51.41082899999999,-7.715438999999999,96.41453537805283,0.123251,500.9765619999999,0.485739,51.36439,-7.715949999999999,,,,,,,,,,,,,,,0.06839863538493296,6.949976108527702,0.9841564102789796,0.06483423859505699,7.173601306157218,0.9037892660609494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:45:11,2019-07-05 10:45:50,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.01536499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.45,7.85,6.4,,,,,,,,,,,,,,,,,,,,46226,0,15,0.135035,500.9765619999999,0.467463,50.08261099999999,-7.716783999999999,96.40857372075804,0.123713,500.9765619999999,0.4848770000000001,50.096733,-7.717234999999999,,,,,,,,,,,,,,,0.06836459573116527,6.95451611324141,0.9830244781660504,0.06489574828246214,7.179779843551399,0.9038682201481288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXGL,D42,C39YR00MN2RR,D42-CARRIERMINI,D42-CARRIERMINI_1M25W,000979,FXGL_C03-5FT-03B_2_QT1-PREBURN,PASS,2019-07-05 10:46:00,2019-07-05 10:46:39,,AT_1.15.4_DVT_80MP.40_00,C079222002GKYT92,Foxconn,F5D92175JEAMHYJ41,Desay Battery Co. Ltd.,DN891440KSMK91K5N,LG Innotek,C399227000MLC2WA7,Foxconn - Hong Fu Jin Precision Industry,C399227000BLTWCA4,Foxconn - Hong Fu Jin Precision Industry,C0792220082LTQ23,Foxconn,C399226007GL8R0AR,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,,,,,,,,,,,,,,,,,3999.023437,0.015676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.45,7.85,6.4,,,,,,,,,,,,,,,,,,,,46397,0,15,0.134678,500.9765619999999,0.468063,50.97644999999999,-7.714809999999999,96.41499834180284,0.123359,500.9765619999999,0.485467,50.97181099999999,-7.715332,,,,,,,,,,,,,,,0.06833873033813298,6.944873233231144,0.984016958166103,0.064874642444808,7.172667131262644,0.9044702794312967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
