QT1-PREBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,Parametric
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,List of Failing Tests,Version,BMLB-Serial Number,BMLB-Vendor,BTY-Serial Number,BTY-Vendor,CAM-Serial Number,CAM-Vendor,CGS-Serial Number,CGS-Vendor,HSGA-Serial Number,HSGA-Vendor,MLB-Serial Number,MLB-Vendor,PEARL-Serial Number,PEARL-Vendor,VA_COMPASS_REVID,1K_ExtTone_SPK_to_Mic2_Frequency,1K_ExtTone_SPK_to_Mic2_Power,1kHz_ExtTone_SPK_to_Low_Power_Mic2_Frequency,1kHz_ExtTone_SPK_to_Low_Power_Mic2_Power,2K_Tone_SPK_to_MIC1_Low_Power_Frequency,2K_Tone_SPK_to_MIC1_Low_Power_Power,2K_Tone_SPK_to_MIC4_Low_Power_Frequency,2K_Tone_SPK_to_MIC4_Low_Power_Power,3K_Tone_SPK_to_MIC1_Frequency,3K_Tone_SPK_to_MIC1_Power,3K_Tone_SPK_to_MIC4_Frequency,3K_Tone_SPK_to_MIC4_Power,3K_Tone_TopSpk_to_Low_Power_MIC3_Frequency,3K_Tone_TopSpk_to_Low_Power_MIC3_Power,3K_Tone_TopSpk_to_MIC3_Frequency,3K_Tone_TopSpk_to_MIC3_Power,4K_Tone_HAC_to_Mic4_Frequency,4K_Tone_HAC_to_Mic4_Peak_Mag,ALS_CH1_Dark,ALS_CH1_LED,ALS_CH2_Dark,ALS_CH2_LED,ALS_CH3_Dark,ALS_CH3_LED,ALS_CH4_Dark,ALS_CH4_LED,ALS_CH5_Dark,ALS_CH5_LED,ALS_CHx_Dark_Fixture,Battery_Cell_ID,Battery_CFG_Version,Battery_CFG_Version_Check,Battery_Charge_Percentage,Battery_Current,Battery_Cycle_Count,Battery_Design_Capacity,Battery_DNVD1_Version,Battery_DNVD2_Version,Battery_Full_Charge_Capacity,Battery_FW_Version,Battery_FW_Version_Check,Battery_Lifetime_Max_Temp,Battery_Lifetime_Max_Voltage,Battery_Lifetime_Min_Temp,Battery_Lifetime_Min_Voltage,Battery_Nominal_Capacity,Battery_Qmax_Capacity,Battery_Remaining_Capacity,Battery_Voltage,CDCC_Slope_Compass_X,CDCC_Slope_Compass_Y,CDCC_Slope_Compass_Z,checkBaudrateOK regexProcess defaultKey,COOL_FLASH_light_intensity,COOL_FLASH_Off_light_intensity,COOL_FLASH_Register_Value,CVCC_Slope_Compass_X,CVCC_Slope_Compass_Y,CVCC_Slope_Compass_Z,Display_Compass_PostCalError_X,Display_Compass_PostCalError_Y,Display_Compass_PostCalError_Z,Display_Compass_PostCalErrorM,Display_Delta_Compass_X_Post,Display_Delta_Compass_Y_Post,Display_Delta_Compass_Z_Post,Display_Off_AVG_Compass_X_Post,Display_Off_AVG_Compass_Y_Post,Display_Off_AVG_Compass_Z_Post,Display_Off_Detect,Display_Off_STD_Compass_X_Post,Display_Off_STD_Compass_Y_Post,Display_Off_STD_Compass_Z_Post,Display_On_AVG_Compass_X_Post,Display_On_AVG_Compass_Y_Post,Display_On_AVG_Compass_Z_Post,Display_On_Detect,Display_On_STD_Compass_X_Post,Display_On_STD_Compass_Y_Post,Display_On_STD_Compass_Z_Post,Display_Slope_Compass_X_Post,Display_Slope_Compass_Y_Post,Display_Slope_Compass_Z_Post,Double_Click_Detect regexProcess post_response,Double_Click_Detect,Fixture_ID_QT1,Flap_South_Hysteresis,Flap_South_Release_distance,Flap_South_Trigger_distance,Gecko_Buck_1V5_500mA regexProcess defaultKey,Gecko_Buck_1V5_iFixture_500mA,Gecko_Buck_1V5_iFixture_No_Load,Gecko_Buck_1V5_No_Load regexProcess defaultKey,Gecko_Buck_1V5_vBuck_500mA,Gecko_Buck_1V5_vBuck_No_Load,Gecko_Buck_1V9_500mA regexProcess defaultKey,Gecko_Buck_1V9_iFixture_500mA,Gecko_Buck_1V9_iFixture_No_Load,Gecko_Buck_1V9_No_Load regexProcess defaultKey,Gecko_Buck_1V9_vBuck_500mA,Gecko_Buck_1V9_vBuck_NoLoad,Gecko_Bypass_500mA regexProcess defaultKey,Gecko_Bypass_iFixture_500mA,Gecko_Bypass_vBypass_500mA,Gecko_Normal_3V3_250mA regexProcess defaultKey,Gecko_Normal_3V3_250mA regexProcess defaultKey-2,Gecko_Normal_3V3_iFixture_250mA,Gecko_Normal_3V3_iLDO_250mA,Gecko_Normal_3V3_vLDO_250mA,Gecko_off_Discharge_FET_OFF regexProcess defaultKey,Gecko_off_Discharge_FET_OFF regexProcess defaultKey-2,Gecko_Off_Discharge_FET_OFF_0mS_vOut,Gecko_Off_Discharge_FET_OFF_50mS_vOut,Gecko_Off_Discharge_FET_ON regexProcess defaultKey,Gecko_Off_Discharge_FET_ON regexProcess defaultKey-2,Gecko_Off_Discharge_FET_ON_0mS_vOut,Gecko_Off_Discharge_FET_ON_50mS_vOut,Juliet_IR_Test_LED_OFF,Juliet_IR_Test_LED_ON,MIXED_WARM/COOL_FLASH_light_intensity,MIXED_WARM/COOL_FLASH_Off_light_intensity,MIXED_WARM/COOL_FLASH_Register_Value,Penrose_AC_IR_Light_IR_CH_DC_Magnitude,Penrose_AC_IR_Light_IR_CH_Frequency,Penrose_AC_IR_Light_IR_CH_Power,Penrose_AC_IR_Light_IR_CH_SINAD,Penrose_AC_IR_Light_IR_CH_THD+N,Penrose_AC_IR_Light_Ratio,Penrose_AC_IR_Light_VIS_CH_DC_Magnitude,Penrose_AC_IR_Light_VIS_CH_Frequency,Penrose_AC_IR_Light_VIS_CH_Power,Penrose_AC_IR_Light_VIS_CH_SINAD,Penrose_AC_IR_Light_VIS_CH_THD+N,Penrose_AC_VIS_Light_IR_CH_DC_Magnitude,Penrose_AC_VIS_Light_IR_CH_Frequency,Penrose_AC_VIS_Light_IR_CH_Power,Penrose_AC_VIS_Light_IR_CH_SINAD,Penrose_AC_VIS_Light_IR_CH_THD+N,Penrose_AC_VIS_Light_Ratio,Penrose_AC_VIS_Light_VIS_CH_DC_Magnitude,Penrose_AC_VIS_Light_VIS_CH_Frequency,Penrose_AC_VIS_Light_VIS_CH_Power,Penrose_AC_VIS_Light_VIS_CH_SINAD,Penrose_AC_VIS_Light_VIS_CH_THD+N,Penrose_DC_Dark_IR_CH,Penrose_DC_Dark_Ratio,Penrose_DC_Dark_VIS_CH,Penrose_DC_VIS_Bright_Light_IR_CH,Penrose_DC_VIS_Bright_Light_Ratio,Penrose_DC_VIS_Bright_Light_VIS_CH,Penrose_DC_VIS_Low_Light_IR_CH,Penrose_DC_VIS_Low_Light_Ratio,Penrose_DC_VIS_Low_Light_VIS_CH,PMUHold,PMURinger,PMUVolDown,PMUVolUp,PROX_QT_DEV_ID,PROX_QT_NO_TARGET_AMB_AVE,PROX_QT_NO_TARGET_AMB_STD,PROX_QT_NO_TARGET_RAW_DIST_AVE,PROX_QT_NO_TARGET_RAW_DIST_STD,PROX_QT_NO_TARGET_REF_SIG_AVE,PROX_QT_NO_TARGET_REF_SIG_STD,PROX_QT_NO_TARGET_SIG_AVE,PROX_QT_NO_TARGET_SIG_STD,PROX_QT_REV_ID,PROX_QT_TARGET_AMB_AVE,PROX_QT_TARGET_AMB_STD,PROX_QT_TARGET_RAW_DIST_AVE,PROX_QT_TARGET_RAW_DIST_STD,PROX_QT_TARGET_REF_SIG_AVE,PROX_QT_TARGET_REF_SIG_STD,PROX_QT_TARGET_SIG_AVE,PROX_QT_TARGET_SIG_STD,Read_SN-2,Torch_On_IBUS_Post,Torch_On_VBUS_Off_AVG_Compass_X_Post,Torch_On_VBUS_Off_AVG_Compass_Y_Post,Torch_On_VBUS_Off_AVG_Compass_Z_Post,Torch_On_VBUS_Off_STD_Compass_X_Post,Torch_On_VBUS_Off_STD_Compass_Y_Post,Torch_On_VBUS_Off_STD_Compass_Z_Post,Torch_On_VBUS_On_AVG_Compass_X_Post,Torch_On_VBUS_On_AVG_Compass_Y_Post,Torch_On_VBUS_On_AVG_Compass_Z_Post,Torch_On_VBUS_On_STD_Compass_X_Post,Torch_On_VBUS_On_STD_Compass_Y_Post,Torch_On_VBUS_On_STD_Compass_Z_Post,Torch_VBUS_Delta_Compass_X_Post,Torch_VBUS_Delta_Compass_Y_Post,Torch_VBUS_Delta_Compass_Z_Post,Torch_VBUS_Slope_Compass_X_Post,Torch_VBUS_Slope_Compass_Y_Post,Torch_VBUS_Slope_Compass_Z_Post,VBUS_SlopeCompass_PostCalError_X,VBUS_SlopeCompass_PostCalError_Y,VBUS_SlopeCompass_PostCalError_Z,VBUS_SlopeCompass_PostCalErrorM,veridian_reset_counter_cfg_fw_updated,veridian_reset_counter_comm,veridian_reset_counter_hw,veridian_reset_counter_sw,veridian_reset_counter_wdt,veridian_reset_last_reason,VolDown,WARM_FLASH_light_intensity,WARM_FLASH_Off_light_intensity,WARM_FLASH_Register_Value
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,NA,1050,NA,2004,NA,2004,NA,3004,NA,3004,NA,3150,NA,3004,NA,4010,NA,6,NA,4,NA,4,NA,4,NA,4,NA,NA,1005981610,NA,NA,NA,NA,NA,NA,16008,16005,3422,NA,NA,70,4412,70,4412,3422,NA,NA,4400,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,4.2,4.2,4.2,4.2,7.4,7.4,7.4,1200,1200,1200,NA,0.5,0.5,0.5,1200,1200,1200,NA,0.5,0.5,0.5,NA,NA,NA,NA,1,NA,4,10.8,10.2,NA,520,20,NA,1600,1663,NA,520,20,NA,2000,2000,NA,520,4400,NA,NA,270,320,3400,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,6000,15,NA,515,NA,NA,NA,120,NA,515,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,515,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,28,NA,NA,NA,NA,NA,208,4,0.75,105,12,5000,42,350,7,18,15,1,20,25,5000,42,2000,10,NA,1300,1200,1200,1200,0.5,0.5,0.5,1200,1200,1200,0.5,0.5,0.5,NA,NA,NA,0.002,0.002,0.002,NA,NA,NA,4.2,NA,NA,NA,0,0,NA,NA,NA,6000,NA
Lower Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,950,NA,950,NA,1996,NA,1996,NA,2996,NA,2996,NA,2850,NA,2996,NA,3990,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1005981610,NA,NA,NA,NA,NA,NA,16008,16005,2634,NA,NA,-20,2249,-20,2249,2634,NA,NA,3400,NA,NA,NA,NA,6000,0,NA,NA,NA,NA,-4.2,-4.2,-4.2,0,-7.4,-7.4,-7.4,-1200,-1200,-1200,NA,0.001,0.001,0.001,-1200,-1200,-1200,NA,0.001,0.001,0.001,NA,NA,NA,NA,1,NA,0.2,5.9,5.6,NA,480,0,NA,1400,1441,NA,480,0,NA,1800,1800,NA,480,3200,NA,NA,230,220,3200,NA,NA,NA,NA,NA,NA,NA,0,NA,100,6000,0,15,NA,485,NA,NA,NA,80,NA,485,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,485,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,208,0.25,0.01,-50,0.01,0,0.01,0,0.01,18,0.25,0.01,-200,0.01,0,0.01,602.17,0.01,NA,800,-1200,-1200,-1200,0.001,0.001,0.001,-1200,-1200,-1200,0.001,0.001,0.001,NA,NA,NA,-0.002,-0.002,-0.002,NA,NA,NA,0.001,NA,NA,NA,0,0,NA,NA,6000,0,NA
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,Hz,FS,Hz,FS,Hz,FS,Hz,FS,Hz,FS,Hz,FS,Hz,FS,Hz,FS,Hz,FS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mAh,mV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lux,NA,NA,NA,NA,NA,NA,lux,NA,NA,NA,NA,NA,NA,NA,NA,NA,mm,mm,mm,NA,mA,mA,NA,mV,mV,NA,mA,mA,NA,mV,mV,NA,mA,mV,NA,NA,mA,mA,mV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FS,Hz,FS,dBFS,dB,%,FS,Hz,FS,dBFS,dB,FS,Hz,FS,dBFS,dB,%,FS,Hz,FS,dBFS,dB,V,%,V,V,%,V,V,%,V,NA,NA,NA,NA,NA,kcps/SPAD,kcps/SPAD,mm,mm,kcps/SPAD,kcps/SPAD,kcps/SPAD,kcps/SPAD,NA,kcps/SPAD,kcps/SPAD,mm,mm,kcps/SPAD,kcps/SPAD,kcps/SPAD,kcps/SPAD,NA,mA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FXGL,D42,C39YR02LN2RK,D42-CARRIERMINI,D42-CARRIERMINI_1R1B,000770,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-04 18:14:38,2019-07-04 18:17:35,Battery_FW_Version_Check;Battery_CFG_Version_Check,AT_1.15.4_CRB_72MP.38_01,C079224001VKYT92,Foxconn,F5D92157AQAMHYJ49,Desay Battery Co. Ltd.,DN891311K99K91K2V,LG Innotek,C3992270073LC2WA4,Foxconn - Hong Fu Jin Precision Industry,C399227004BLTW9AV,Foxconn - Hong Fu Jin Precision Industry,C079224005SLTPY3,Foxconn,C399226003RL8R0AU,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,1000.488281,0.01514299999999999,1000,0.013923,2000,0.02081599999999999,2000,0.124343,3000,0.01792,3000,0.15084,3000,0.178112,3000,0.285811,3999.023437,0.02211299999999999,0,452554.2,0,173064.6,0,298849.8,0,304232,0,152330,0,1005981610,16012,,92,-337,7,3028,16008,16005,3112,109050571,,64.669381,4400,19.062471,2533,3066,3199,2871,4253,0,0,0,,8992,0,3,0,0,0,-0.09030888750002963,-0.4515534687499886,0,0.4604956354859837,0.1499940000000492,0.749984999999981,0,404.095886,231.59764,136.0486139999999,0,0.13891,0.155565,0.160232,404.24588,232.3476249999999,136.0486139999999,109.4,0.172988,0.109155,0.221144,-0.001062457500000348,-0.005312393749999865,0,,1,1,1,7.9,6.9,,483.03,0,,1508.954,1550.6715,,482.91,0,,1927.1469,1945.4619,,483.03,4215.5067,,,240.89,235.6762,3330.2808,,,162.8001,20.35,,,89.54,20.35,0,199,10338,0,15,0.199544,500.9765619999999,0.351366,50.609507,-7.743746,97.1700696074934,0.195273,500.9765619999999,0.3615989999999999,50.56167299999999,-7.742183999999999,0.381728,500.9765619999999,0.011034,51.94970899999999,-6.277363000000001,3.041437309289973,0.195346,500.9765619999999,0.3627889999999999,54.937708,-7.11962,0.03262035384591954,108.2445669624828,0.03013578857701526,0.04746243926599192,9.460549114805412,0.5016879960140469,0.04661616520884049,9.531663374893702,0.4890664239321225,,,,,208,0.87677534375,0.0910901688471406,21.07710059375,1.970926918870231,468.77828790625,4.327925288645071,52.07863040625,0.3809283446505113,18,5.73083165625,0.2097291932128801,-55.36235325,1.080193622957564,465.39611378125,3.822709585547319,810.1350200625,2.690194624866061,,974.9908,404.545883,232.5726239999999,136.9485929999999,0.143119,0.176209,0.127729,404.545883,233.2476189999999,137.0986019999999,0.153584,0.139901,0.168767,0,0.6749949999999956,0.1500090000000113,0,0.0006923090966601895,0.0001538568363927243,0,1.661541831984454,0.3692564073425383,1.702078598008263,42,0,2,0,0,4,,8613,0,12
FXGL,D42,C39YT00UN2QP,D42-CARRIER,D42-CARRIER_3R4RJ,004481,FXGL_C03-3F-DQE_11_QT1-PREBURN,PASS,2019-07-04 22:22:27,2019-07-04 22:25:23,,AT_1.15.4_CRB_72MP.38_01,C0792340097L39Q2,Foxconn,F5D92233H6VLTDM4T,Desay Battery Co. Ltd.,DN8916401CMK91K3E,LG Innotek,C399237001JLC2WA4,Foxconn - Hong Fu Jin Precision Industry,C3992370016LTWDA2,Foxconn - Hong Fu Jin Precision Industry,C079234009KLTQ43,Foxconn,C399236004LL8R0AT,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,1000.488281,0.014235,1000,0.012868,2000,0.019798,2000,0.117763,3000,0.015801,3000,0.146101,3000,0.173664,3000,0.2797409999999999,3999.023437,0.021282,0,388092,0,138886.8,0,231566.6,0,223793,0,112709.2,0,1006261520,17011,,65,-448,6,3028,17008,17005,3074,109050563,,47.434884,4400,17.885789,3607,3031,3153,2005,3950,0,0,0,,11475,0,3,0,0,0,-0.09030888749996117,-0.1806177750000079,0.2709350916666488,0.3379116744118935,0.1499939999999355,0.2999880000000132,-0.4499959999999703,430.345611,243.1475209999999,202.6479329999999,0,0.139257,0.139579,0.12638,430.4956049999999,243.4475089999999,202.197937,109.3,0.186143,0.141438,0.261439,-0.001062457499999543,-0.002124915000000094,0.003187471666666456,,1,1,1,7.9,6.9,,483.03,0,,1500.814,1572.039,,483.03,0,,1915.9544,1925.1119,,483.03,3877.6963,,,241.02,252.4362,3312.9833,,,158.7301,15.2625,,,93.61,15.2625,0,206,13440,0,15,0.194337,500.9765619999999,0.358498,51.18420099999999,-7.763784999999999,96.24960063576103,0.191434,500.9765619999999,0.372467,51.19232200000001,-7.763865,0.3807,500.9765619999999,0.010564,51.35679399999999,-6.386253,2.964542788589709,0.201002,500.9765619999999,0.3563449999999999,55.15081999999999,-7.152643,0.03546248837439669,139.0090448531472,0.02551092154604772,0.04971656925741108,10.18754650564254,0.4880131759877092,0.04888351295305826,10.25949808143043,0.4764708035916183,,,,,208,0.97602125,0.06705009965363586,29.50839675,1.157850327577954,398.1242328125,4.715539003307909,56.45012571875,0.39164168093139,18,6.2918270625,0.1959235849596306,-48.14876340625,1.353981904766106,401.37487290625,4.175139158349077,879.76791678125,2.319567513789636,,952.2399,430.7956079999999,243.897506,203.547927,0.171129,0.156199,0.173965,431.0956109999999,244.497497,203.847915,0.137477,0.139193,0.118826,0.3000030000000038,0.599991000000017,0.2999879999999848,0.000315049810452181,0.0006300838685713726,0.0003150340581191618,0.7561195450852344,1.512201284571294,0.7560817394859882,1.852060767983365,18,0,2,0,0,4,,11279,0,12
FXGL,D42,C39YT013N2QP,D42-CARRIER,D42-CARRIER_3R4RJ,004490,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 01:56:27,2019-07-05 01:59:22,Battery_Lifetime_Max_Temp,AT_1.15.4_CRB_72MP.38_01,C0792340095L39Q2,Foxconn,F5D92234D2CLTDM4P,Desay Battery Co. Ltd.,DN8916357HRK91K39,LG Innotek,C399237001ELC2WA8,Foxconn - Hong Fu Jin Precision Industry,C399237001TLTWDAF,Foxconn - Hong Fu Jin Precision Industry,C07923400GWLTQ43,Foxconn,C3992360043L8R0AA,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,1000.488281,0.014162,1000,0.012883,2000,0.01901299999999999,2000,0.111922,3000,0.016447,3000,0.136487,3000,0.177586,3000,0.286525,3999.023437,0.020772,0,404727.8,0,142761.4,0,236419.4,0,230045.8,0,113142,0,1006261520,17011,,93,-382,12,3028,17008,17005,3180,109050563,,78.634713,4401,19.799958,2947,3127,3249,2944,4249,0,0,0,,11644,0,3,0,0,0,-0.2257764333333454,-0.5418707854166637,0.2709356937500148,0.6465331361071917,0.3749920000000202,0.8999929999999949,-0.4499970000000246,448.1954339999999,202.197937,152.398437,0,0.115594,0.147353,0.23703,448.5704259999999,203.09793,151.94844,117,0.164117,0.109779,0.21604,-0.002656193333333476,-0.006374950416666631,0.003187478750000174,,1,1,0.5,7.9,7.4,,483.03,0,,1496.7439,1576.109,,483.03,0,,1911.8844,1927.1469,,483.03,4191.0866,,,241.02,246.1008,3309.9308,,,171.9576,16.28,,,84.4525,19.3325,0,209,13572,0,15,0.191114,500.9765619999999,0.3684449999999999,49.99484699999999,-7.774266,97.07570136795734,0.183951,500.9765619999999,0.379544,49.974338,-7.773602000000001,0.38233,500.9765619999999,0.011599,50.967108,-6.357668,2.92194951141296,0.175478,500.9765619999999,0.396961,55.029433,-7.174918999999999,0.03051074845544188,90.33020245808,0.03377690697593771,0.04616402415659249,8.405335945695322,0.5492228324346127,0.04519802907233728,8.427693140922228,0.5363036873384706,,,,,208,0.95609803125,0.1112148374230268,24.094016,1.483317320211483,367.88241021875,4.409445230178783,52.44828853125,0.3682772512991218,18,5.91278103125,0.1672091578804605,-42.35765,1.39992747212648,371.61485496875,4.070929109296139,821.2667515625,3.06713314804227,,1000.9918,448.7954249999999,202.497924,152.998428,0.137304,0.112491,0.157685,449.245422,203.697921,153.298431,0.219511,0.1188179999999999,0.209412,0.449997000000053,1.199996999999996,0.3000029999999753,0.0004495511351841774,0.001198808022203574,0.0002997057518353051,1.078922724442025,2.877139253288579,0.7192938044047322,3.155849822977386,23,0,4,0,0,4,,11161,0,12
FXGL,D42,C39YT015N2QP,D42-CARRIER,D42-CARRIER_3R4RJ,004492,FXGL_C03-3F-DQE_11_QT1-PREBURN,PASS,2019-07-04 22:15:25,2019-07-04 22:18:21,,AT_1.15.4_CRB_72MP.38_01,C079234008VL39Q2,Foxconn,F5D92233JHNLTDM40,Desay Battery Co. Ltd.,DN8916357N9K91K3A,LG Innotek,C399237000WLC2WAV,Foxconn - Hong Fu Jin Precision Industry,C3992370004LTWDA7,Foxconn - Hong Fu Jin Precision Industry,C07923400H1LTQ43,Foxconn,C399236003SL8R0AQ,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,1000.488281,0.014149,1000,0.012893,2000,0.020931,2000,0.119495,3000,0.01602199999999999,3000,0.146105,3000,0.177911,3000,0.284558,3999.023437,0.021291,0,412904.6,0,144874.8,0,236753.2,0,231480.4,0,114305.4,0,1006261520,17011,,84,-377,5,3028,17008,17005,3125,109050563,,53.306245,4400,18.164949,3608,3066,3233,2628,4146,0,0,0,,11634,0,3,0,0,0,-0.2709266624999863,-0.4515625,-0.09030888749999542,0.534289849258919,0.4499819999999772,0.75,0.1499939999999924,442.045501,214.7978049999999,187.648086,0,0.16236,0.146744,0.182334,442.4954829999999,215.5478049999999,187.7980799999999,107,0.155963,0.122032,0.20382,-0.003187372499999839,-0.0053125,-0.001062457499999946,,1,1,1,7.4,6.4,,483.03,0,,1508.954,1551.689,,483.03,0,,1921.0419,1913.9194,,483.03,4089.3365,,,241.02,248.2894,3321.1233,,,161.7826,26.455,,,81.4,23.4025,0,203,13254,0,15,0.188328,500.9765619999999,0.381471,49.89100499999999,-7.769499999999999,99.43825496707728,0.188694,500.9765619999999,0.383626,49.90441699999999,-7.767747,0.386376,500.9765619999999,0.011569,51.203931,-6.368153999999998,2.970980996404724,0.186448,500.9765619999999,0.3894,54.20329699999999,-7.163998999999999,0.02153533917062811,117.1702872874907,0.0183795223765123,0.03710117812100288,7.077976302060744,0.5241777668879863,0.03610146063335251,7.069154356135403,0.5106899469809938,,,,,208,1.01141490625,0.1031752619164229,27.1102713125,1.494228610366701,520.25948646875,6.541882183805404,53.11755734375,0.3202129473152992,18,6.16106771875,0.2191305253669081,-47.28444153125,0.9739515883991612,525.514496375,5.485660733109867,857.74378565625,3.202409657919639,,984.7411999999999,442.1954949999999,215.697799,188.2480769999999,0.126164,0.128778,0.255897,442.7954859999999,216.2977899999999,188.4730749999999,0.159725,0.129683,0.196126,0.5999909999999886,0.5999909999999886,0.2249979999999709,0.0006092880037922539,0.0006092880037922539,0.0002284843977280233,1.462291209101409,1.462291209101409,0.548362554547256,2.139460831999528,18,0,3,0,0,4,,10954,0,12
FXGL,D42,C39YV008N2RR,D42-CARRIER,D42-CARRIER_1R5WJ,005106,FXGL_C03-3F-DQE_11_QT1-PREBURN,PASS,2019-07-04 22:19:05,2019-07-04 22:22:01,,AT_1.15.4_CRB_72MP.38_01,C079236000XKYT92,Foxconn,F5D92244F77MHYJ4X,Desay Battery Co. Ltd.,GCF917126HUK91K9H,LG Innotek,C399242001KLC2WA5,Foxconn - Hong Fu Jin Precision Industry,C3992420016LTWCA5,Foxconn - Hong Fu Jin Precision Industry,C0792360083LTQ23,Foxconn,C39923700TEL8R0AX,Foxconn - Hong Fu Jin Precision Industry,Moly-25A,1000.488281,0.014257,1000,0.013086,2000,0.01903699999999999,2000,0.130383,3000,0.025513,3000,0.149449,3000,0.171266,3000,0.297125,3999.023437,0.023593,0.2,458941.8,0,186503,0,276538.6,0,281881.4,0,132902.2,0,1005981610,16011,,80,-347,5,3028,16008,16005,3030,109050563,,47.760575,4400,17.910417,3661,2976,3081,2431,4113,0,0,0,,12384,0,3,0,0,0,-0.2709356937500319,-0.3612536124999874,0.3612439791666784,0.57827980699336,0.449997000000053,0.6000059999999792,-0.5999900000000196,380.3961179999998,215.997787,196.347991,0,0.179973,0.20725,0.21155,380.8461149999999,216.5977929999999,195.7480009999999,112.8,0.1884,0.127941,0.3063949999999999,-0.003187478750000375,-0.004250042499999852,0.004249929166666805,,1,1,0.75,7.65,6.9,,483.03,0,,1512.0065,1582.214,,483.03,0,,1927.1469,1922.0594,,483.03,4065.934,,,241.02,240.1686,3327.2283,,,165.8526,27.4725,,,101.7501,27.4725,0,205,14363,0,15,0.15053,500.9765619999999,0.435696,50.86887699999999,-7.716066,97.34374476356447,0.144872,500.9765619999999,0.447585,50.805703,-7.715876999999999,0.3810429999999999,500.9765619999999,0.005043000000000001,49.21541,-7.504419999999999,2.987913259864913,0.294479,500.9765619999999,0.16878,55.135222,-7.709317,0.04126477755458824,103.043045731254,0.04004615475187978,0.06567607413160759,7.749974429704704,0.8474360106257799,0.06355610416346069,7.746442684905861,0.8204553593006162,,,,,208,0.94841753125,0.1069891612594426,24.16298278125,1.317046234392151,313.54951134375,2.919975901632887,55.87241271875,0.3895932702936996,18,6.03891421875,0.1785604017805905,-52.34452575,1.041963910426454,315.42602365625,4.186558777251354,846.11532478125,4.373972389627325,,958.7401999999998,381.1461179999999,216.5977929999999,197.097991,0.177201,0.168712,0.228786,381.2961119999998,217.0477899999999,197.097991,0.20375,0.169011,0.210938,0.1499939999999355,0.4499969999999962,0,0.0001564490567934207,0.0004693628159119605,0,0.3754777363042098,1.126470758188705,0,1.187400479835834,23,0,1,0,0,4,,11498,0,12
