Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime
FXGL,D43,G6TZ1002N393,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 01:27:35,2019-07-05 01:27:54
FXGL,D43,G6TZ1002N398,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 10:13:30,2019-07-05 10:14:19
FXGL,D43,G6TZ1002N399,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 09:38:56,2019-07-05 09:39:16
FXGL,D43,G6TZ1003N38Y,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 20:16:43,2019-07-05 20:17:06
FXGL,D43,G6TZ1003N393,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 01:27:04,2019-07-05 01:27:31
FXGL,D43,G6TZ1003N398,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 10:16:50,2019-07-05 10:17:13
FXGL,D43,G6TZ1003N399,,,,FXGL_C07-3F-BIR_2_BURNIN,FAIL,2019-07-05 10:19:16,2019-07-05 10:19:46
FXGL,D43,G6TZ1004N38Y,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 12:58:52,2019-07-05 12:59:16
FXGL,D43,G6TZ1004N393,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 01:28:13,2019-07-05 01:28:32
FXGL,D43,G6TZ1004N398,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 10:13:16,2019-07-05 10:13:55
FXGL,D43,G6TZ1004N399,,,,FXGL_C07-3F-BIR_1_BURNIN,FAIL,2019-07-05 09:37:00,2019-07-05 09:37:24
FXGL,D43,G6TZ1005N38Y,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 13:01:21,2019-07-05 13:01:43
FXGL,D43,G6TZ1005N393,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 00:50:17,2019-07-05 00:50:34
FXGL,D43,G6TZ1005N398,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 10:15:09,2019-07-05 10:15:37
FXGL,D43,G6TZ1005N399,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 10:13:26,2019-07-05 10:14:16
FXGL,D43,G6TZ1006N38Y,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 21:33:35,2019-07-05 21:33:52
FXGL,D43,G6TZ1006N398,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 10:15:36,2019-07-05 10:16:20
FXGL,D43,G6TZ1007N38Y,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 13:01:46,2019-07-05 13:02:10
FXGL,D43,G6TZ1007N393,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 01:26:53,2019-07-05 01:27:10
FXGL,D43,G6TZ1007N398,,,,FXGL_C07-3F-BIR_2_BURNIN,FAIL,2019-07-05 10:19:08,2019-07-05 10:19:35
FXGL,D43,G6TZ1007N399,,,,FXGL_C07-3F-BIR_2_BURNIN,FAIL,2019-07-05 08:09:16,2019-07-05 08:09:49
FXGL,D43,G6TZ1007N399,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 08:12:02,2019-07-05 08:12:22
FXGL,D43,G6TZ1008N38F,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 08:14:07,2019-07-05 08:14:26
FXGL,D43,G6TZ1008N393,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 01:31:28,2019-07-05 01:31:45
FXGL,D43,G6TZ1008N398,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 20:16:33,2019-07-05 20:16:55
FXGL,D43,G6TZ1008N399,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 10:08:33,2019-07-05 10:08:52
FXGL,D43,G6TZ1009N38F,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 03:01:30,2019-07-05 03:02:07
FXGL,D43,G6TZ1009N393,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 01:27:07,2019-07-05 01:27:34
FXGL,D43,G6TZ1009N398,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 10:13:45,2019-07-05 10:14:30
FXGL,D43,G6TZ1009N399,,,,FXGL_C07-3F-BIR_2_BURNIN,FAIL,2019-07-05 09:45:27,2019-07-05 09:45:44
FXGL,D43,G6TZ1009N399,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 09:53:38,2019-07-05 09:53:55
FXGL,D43,G6TZ100AN38Y,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 12:59:06,2019-07-05 12:59:27
FXGL,D43,G6TZ100AN393,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 01:31:21,2019-07-05 01:31:39
FXGL,D43,G6TZ100AN399,,,,FXGL_C07-3F-BIR_1_BURNIN,FAIL,2019-07-05 09:41:16,2019-07-05 09:41:43
FXGL,D43,G6TZ100BN38Y,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 12:58:43,2019-07-05 12:59:04
FXGL,D43,G6TZ100BN393,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 01:27:12,2019-07-05 01:27:41
FXGL,D43,G6TZ100BN398,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 10:15:21,2019-07-05 10:16:02
FXGL,D43,G6TZ100BN399,,,,FXGL_C07-3F-BIR_1_BURNIN,FAIL,2019-07-05 09:36:56,2019-07-05 09:37:18
FXGL,D43,G6TZ100CN38Y,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 13:00:15,2019-07-05 13:00:35
FXGL,D43,G6TZ100CN398,,,,FXGL_C07-3F-BIR_2_BURNIN,FAIL,2019-07-05 10:19:08,2019-07-05 10:19:37
FXGL,D43,G6TZ100CN399,,,,FXGL_C07-3F-BIR_1_BURNIN,PASS,2019-07-05 09:39:10,2019-07-05 09:39:33
FXGL,D43,G6TZ100DN38Y,,,,FXGL_C07-3F-BIR_2_BURNIN,PASS,2019-07-05 12:58:55,2019-07-05 12:59:19
