Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime
FXGL,D43,G6TYT00GN3F2,D43-CRBMINI,D43-CRBMINI_FXFC2,000165,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:38:58,2019-07-05 01:39:10
FXGL,D43,G6TYT015N38X,D43-CRBMINI,D43-CRBMINI_FXFC8,000259,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:21:07,2019-07-05 05:21:18
FXGL,D43,G6TYV007N38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000817,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:14:10,2019-07-05 02:14:21
FXGL,D43,G6TYV00BN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000821,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:15:38,2019-07-05 02:15:50
FXGL,D43,G6TYV00BN3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000451,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:28:12,2019-07-05 03:29:01
FXGL,D43,G6TYV00GN3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000456,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 03:10:51,2019-07-05 03:11:02
FXGL,D43,G6TYV00JN3D0,D43-CRBMINI,D43-CRBMINI_9M7B1,000766,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:26:03,2019-07-05 05:26:16
FXGL,D43,G6TYV00KN3D0,D43-CRBMINI,D43-CRBMINI_9M7B1,000767,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 13:25:46,2019-07-05 13:25:53
FXGL,D43,G6TYV00LN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000830,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:23:31,2019-07-05 01:23:42
FXGL,D43,G6TYV00XN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000420,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:39:01,2019-07-05 01:39:12
FXGL,D43,G6TYV00XN3FG,D43-CRBMINI,D43-CRBMINI_7M6B1,000700,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:41:49,2019-07-05 05:42:01
FXGL,D43,G6TYV00YN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000419,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:19:14,2019-07-05 01:19:25
FXGL,D43,G6TYV00YN39T,D43-CRBMINI,D43-CRBMINI_FXFC10,000309,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:13:00,2019-07-05 05:13:12
FXGL,D43,G6TYV00ZN39T,D43-CRBMINI,D43-CRBMINI_FXFC10,000308,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:22:33,2019-07-05 00:22:44
FXGL,D43,G6TYV00ZN39T,D43-CRBMINI,D43-CRBMINI_FXFC10,000308,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:23:50,2019-07-05 00:23:57
FXGL,D43,G6TYV010N38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000844,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:55:13,2019-07-05 00:55:28
FXGL,D43,G6TYV013N3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000477,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 08:35:59,2019-07-05 08:36:10
FXGL,D43,G6TYV014N39T,D43-CRBMINI,D43-CRBMINI_FXFC10,000303,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 03:04:25,2019-07-05 03:04:37
FXGL,D43,G6TYV015N3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000479,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:31:32,2019-07-05 03:32:02
FXGL,D43,G6TYV018N3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000482,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:29:42,2019-07-05 03:30:09
FXGL,D43,G6TYV019N3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000483,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:27:14,2019-07-05 03:28:02
FXGL,D43,G6TYV01BN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000855,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 08:27:09,2019-07-05 08:27:20
FXGL,D43,G6TYV01CN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000405,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:54:08,2019-07-05 00:54:20
FXGL,D43,G6TYV01EN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000403,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:41:17,2019-07-05 05:41:28
FXGL,D43,G6TYV01EN3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000488,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:28:02,2019-07-05 03:28:37
FXGL,D43,G6TYV01FN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000402,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:08:26,2019-07-05 04:08:38
FXGL,D43,G6TYV01LN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000397,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:39:32,2019-07-05 05:39:43
